Entry,uniref50id,EC number,Taxonomic lineage (SUPERKINGDOM),EMBL_CDS_id
B0C9N7,UniRef50_B0C9N7,3.6.1.23,Bacteria,ABW30185.1
Q608M4,UniRef50_Q2RNY6,3.6.5.n1,Bacteria,AAU92526.1
A1AU63,UniRef50_Q748D4,6.3.2.9,Bacteria,ABL00884.1
A5F9D4,UniRef50_Q87SL0,3.6.1.27,Bacteria,ACP08562.1
B0RPA3,UniRef50_B1LW44,4.2.1.41,Bacteria,CAP50288.1
P00163,UniRef50_P00163,7.1.1.8,Eukaryota,AAA32152.2
Q7MHR6,UniRef50_Q1C420,6.1.1.7,Bacteria,BAC95567.1
Q9X1A5,UniRef50_Q9X1A5,5.3.1.9,Bacteria,AAD36455.1
Q9LS10,UniRef50_Q9LS10,2.1.1.-,Eukaryota,AED94268.1
C3KYR4,UniRef50_A9NHH8,2.7.2.3,Bacteria,ACQ52552.1
Q6CN27,UniRef50_P50076,2.4.1.256,Eukaryota,CAG99749.1
Q46IK0,UniRef50_Q2GKB1,4.1.99.17,Bacteria,AAZ58678.1
P38939,UniRef50_P38939,3.2.1.1; 3.2.1.41,Bacteria,ABY95795.1
Q2JU40,UniRef50_Q2JU40,3.1.-.-,Bacteria,ABC99784.1
Q1CIQ7,UniRef50_A0KX28,2.8.1.-,Bacteria,ABG18123.1
Q6F9F4,UniRef50_Q6F9F4,3.5.1.-,Bacteria,CAG69310.1
Q9LRQ8,UniRef50_Q9LRQ8,2.3.1.-,Eukaryota,BAB02518.1
Q6C4W5,UniRef50_Q6C4W5,2.3.1.225,Eukaryota,CAG79896.1
P0A9V1,UniRef50_P0A9V3,7.5.2.-,Bacteria,AAA58003.1
B4U5F8,UniRef50_Q57396,3.6.4.12,Bacteria,ACG61422.1
P46139,UniRef50_P46139,2.7.7.65,Bacteria,AAC75653.1
Q2GGA2,UniRef50_Q2GJV3,5.4.99.25,Bacteria,ABD45375.1
A0JMZ4,UniRef50_A0JMZ4,2.1.1.362; 2.1.1.361,Eukaryota,AAI26061.1
Q9KER6,UniRef50_Q9KER6,6.3.3.3,Bacteria,BAB04502.1
Q7U618,UniRef50_A6T7D6,3.5.2.3,Bacteria,CAE08038.1
C1A8Y1,UniRef50_C1A8Y1,7.1.1.-,Bacteria,BAH38691.1
Q54V35,UniRef50_Q54V35,2.7.11.1,Eukaryota,EAL67123.1
Q73VZ7,UniRef50_Q73VZ7,4.3.3.7,Bacteria,AAS05181.1
D3UAG6,UniRef50_B3TKC8,2.4.1.-,Eukaryota,ACZ44841.1
A9WNC6,UniRef50_P50001,7.1.2.2,Bacteria,ABY23182.1
Q9ZFA6,UniRef50_A6U9C6,4.6.1.17,Bacteria,ABA78149.1
B4U177,UniRef50_A3CLD6,2.7.8.7,Bacteria,ACG61744.1
Q641K5,UniRef50_O60285,2.7.11.1,Eukaryota,AAH82328.1
O48723,UniRef50_O48723,3.1.1.-,Eukaryota,AAL32722.1
Q3ALB5,UniRef50_Q7VAS4,6.3.2.4,Bacteria,ABB34617.1
Q9Z808,UniRef50_Q5L6R9,3.6.5.-,Bacteria,AAP98494.1
Q64604,UniRef50_Q64604,3.1.3.48,Eukaryota,AAC37655.1
B8D7R7,UniRef50_P45164,5.4.2.10,Bacteria,ACL30182.1
Q6D848,UniRef50_Q889Q6,2.5.1.78,Bacteria,CAG74037.1
A7FU67,UniRef50_Q97D54,3.5.4.16,Bacteria,ABS33559.1
Q5LCT3,UniRef50_Q8R8Q6,5.3.1.12,Bacteria,CAH08080.1
Q84P21,UniRef50_Q84P21,6.2.1.-,Eukaryota,AAF79611.1
Q058P4,UniRef50_Q058P4,2.3.2.27,Eukaryota,AEE78593.1
Q2P674,UniRef50_Q8EDI8,6.3.3.1,Bacteria,BAE67953.1
Q9LYJ9,UniRef50_Q9LYJ9,3.6.4.13,Eukaryota,BAF00715.1
Q88P52,UniRef50_P13981,3.5.3.6,Bacteria,AAN66626.1
Q31WX6,UniRef50_A9MPV6,2.3.1.15; 2.3.1.n5,Bacteria,ABB67432.1
P11245,UniRef50_P11245,2.3.1.5,Eukaryota,ABC26189.1
Q65363,UniRef50_P18569,2.4.1.-,Viruses,BAA04172.1
Q9R3D1,UniRef50_P08308,2.1.3.3,Bacteria,CAA11633.1
G8GJ96,UniRef50_G8GJ96,4.2.1.133,Eukaryota,AET21248.1
P45239,UniRef50_P45239,2.3.1.241,Bacteria,AAC43515.1
P29768,UniRef50_P29768,3.2.1.18,Bacteria,AAA27168.1
A6QFH2,UniRef50_B8E0N9,6.3.4.5,Bacteria,BAF67104.1
Q9CZI9,UniRef50_Q8WTP8,3.1.-.-,Eukaryota,BAE39708.1
Q8W3Z4,UniRef50_Q8W3Z4,5.4.99.8,Eukaryota,BAB83085.1
Q9HJ72,UniRef50_O58742,2.5.1.129,Archaea,CAC12227.1
Q96LD8,UniRef50_Q96LD8,3.4.22.-,Eukaryota,AAG21828.1
Q9JIH7,UniRef50_Q9H4A3,2.7.11.1,Eukaryota,ABA02202.1
Q8FH99,UniRef50_Q8E8D4,3.5.4.4,Bacteria,AAN80475.1
A1UZM8,UniRef50_Q8Y2D1,2.7.11.-; 2.7.4.-,Bacteria,ABM49864.1
B3CMT8,UniRef50_Q8YC57,6.3.5.7,Bacteria,CAQ55210.1
Q73WE4,UniRef50_Q9L278,6.1.1.3,Bacteria,AAS05033.1
A4JLT5,UniRef50_Q5P229,3.5.4.16,Bacteria,ABO57238.1
Q9FX92,UniRef50_Q9SMN0,3.1.1.1,Eukaryota,AEE32454.1
B2HII1,UniRef50_O33123,4.2.1.33,Bacteria,ACC40175.1
Q5ZKD7,UniRef50_Q5ZKD7,3.6.4.13,Eukaryota,CAG31806.1
Q8CQD8,UniRef50_Q5HKF0,6.3.3.3,Bacteria,AAO03776.1
Q2G7C4,UniRef50_P28718,5.3.1.9,Bacteria,ABD26249.1
P9WQ46,UniRef50_Q7TVK7,6.2.1.57,Bacteria,AAK48301.1
Q7MQ03,UniRef50_A6VKV4,4.1.1.49,Bacteria,BAC92971.1
Q8VYX0,UniRef50_Q8VYX0,3.5.1.-; 3.5.1.127,Eukaryota,AAK43477.1
Q9P275,UniRef50_Q9P275,3.4.19.12,Eukaryota,BAA91825.1
Q8XA06,UniRef50_Q8ZRV2,7.6.2.15,Bacteria,BAB33493.1
P48489,UniRef50_P48489,3.1.3.16,Eukaryota,AAA74625.1
P34960,UniRef50_P39900,3.4.24.65,Eukaryota,BAE42154.1
Q5BET6,UniRef50_Q4WRH5,3.6.4.13,Eukaryota,EAA65973.1
P0DPE0,UniRef50_P0DPD7,2.1.1.-,Eukaryota,AAI15542.1
Q4J9R1,UniRef50_O51257,2.7.1.30,Archaea,AAY80469.1
Q638W1,UniRef50_Q6HGI0,2.6.1.52,Bacteria,AAU17292.1
C0Q1C2,UniRef50_Q89VC7,5.3.1.5,Bacteria,ACN47818.1
Q8I147,UniRef50_P21461,2.3.2.27,Eukaryota,EDW76920.1
B7NF84,UniRef50_Q6CZD8,3.6.1.40,Bacteria,CAR15439.1
Q8F8N2,UniRef50_Q72N01,5.4.99.27,Bacteria,AAN47722.1
Q2RTG6,UniRef50_Q2RTG6,6.1.1.19,Bacteria,ABC22579.1
P9WP20,UniRef50_Q9X9V6,2.3.1.117,Bacteria,AAK45496.1
Q27YG9,UniRef50_Q27YG9,3.6.4.-; 2.7.7.48,Viruses,ABC55268.2
A0K5U6,UniRef50_Q7VW29,2.3.1.180,Bacteria,ABK07873.1
P23547,UniRef50_P23432,3.2.1.39,Eukaryota,AAA63542.1
B7IHR3,UniRef50_A8F5H5,6.3.5.-,Bacteria,ACJ75627.1
Q94BZ7,UniRef50_Q94BZ7,5.6.2.2,Eukaryota,AED90701.1
B0KNV6,UniRef50_Q9PFT5,4.2.1.59; 5.3.3.14,Bacteria,ABY99635.1
B3Q9R8,UniRef50_Q89MT4,3.4.11.1; 3.4.11.10,Bacteria,ACF01971.1
A6LJI7,UniRef50_B7IFS5,3.6.1.9,Bacteria,ABR30088.1
P87078,UniRef50_P06786,5.6.2.2,Eukaryota,CAA71405.1
Q2GIL5,UniRef50_Q2GIL5,2.1.1.228,Bacteria,ABD43497.1
P44458,UniRef50_P44458,2.7.7.61; 2.4.2.52,Bacteria,AAC21699.1
P29872,UniRef50_O47870,7.1.1.9,Eukaryota,AAA31711.1
A5F465,UniRef50_Q9KNI1,4.2.1.17; 5.1.2.3; 5.3.3.8; 1.1.1.35,Bacteria,ACP08224.1
A5F398,UniRef50_P0C6Q7,3.4.24.-,Bacteria,ABQ22076.1
Q99IE5,UniRef50_Q86500,3.4.22.-; 2.7.7.48; 3.6.1.15; 3.6.4.13,Viruses,BAB32473.1
B8GP39,UniRef50_P43851,6.3.2.6,Bacteria,ACL73959.1
B2RHB7,UniRef50_Q7WQN2,5.4.2.11,Bacteria,BAG32762.1
Q84M98,UniRef50_Q84M98,3.1.22.-,Eukaryota,BAE99972.1
D4DEN7,UniRef50_P07267,3.4.23.25,Eukaryota,EFE39677.1
B5ZPA0,UniRef50_Q8YIY0,2.7.2.3,Bacteria,ACI56508.1
Q63VS6,UniRef50_B1YU46,4.2.3.3,Bacteria,CAH35163.1
Q3YVC0,UniRef50_Q8X8I1,3.4.13.9,Bacteria,AAZ90542.1
P68403,UniRef50_P20444,2.7.11.13,Eukaryota,CAA27756.1
P37254,UniRef50_P37254,2.6.1.85,Eukaryota,DAA10574.1
Q9X4P2,UniRef50_C6DAE6,3.6.1.-,Bacteria,AAG03725.1
B2VK95,UniRef50_Q8ZLM5,2.1.1.176,Bacteria,CAO98176.1
Q9UBF8,UniRef50_Q9UBF8,2.7.1.67,Eukaryota,EAW53450.1
B0JY77,UniRef50_Q87Y35,3.6.4.12,Bacteria,BAG05115.1
P39065,UniRef50_P39065,2.3.1.-,Bacteria,AAA68286.1
Q1JG50,UniRef50_P0DA50,6.3.2.4,Bacteria,ABF34294.1
P40829,UniRef50_P40829,2.6.1.19; 2.6.1.22,Bacteria,CAA19078.1
P66816,UniRef50_P66815,2.3.1.286,Bacteria,BAB43289.1
A9CF16,UniRef50_A9CF16,4.3.99.3,Bacteria,AAK90046.1
Q7NAM0,UniRef50_P58824,6.3.1.1,Bacteria,AAP56966.2
Q66ER8,UniRef50_Q8ZIL5,6.3.5.5,Bacteria,CAH19863.1
O81108,UniRef50_O81108,7.2.2.10,Eukaryota,AAL32562.1
B1XBY1,UniRef50_Q9KV38,2.7.1.33,Bacteria,ACB04981.1
Q9ZB07,UniRef50_Q9CFE7,6.3.5.3; 3.5.1.2,Bacteria,AAD12625.1
Q5R065,UniRef50_Q5R065,2.5.1.145,Bacteria,AAV81349.1
C0RFF1,UniRef50_Q9CJN7,4.2.1.33,Bacteria,ACO01623.1
C3PGQ7,UniRef50_C3PGQ7,3.6.4.12,Bacteria,ACP33011.1
P03923,UniRef50_P03923,7.1.1.2,Eukaryota,AAR95523.1
Q9BV23,UniRef50_Q8R2Y0,3.1.1.23,Eukaryota,BAD18771.1
Q64VP2,UniRef50_Q8AAP2,6.1.1.3,Bacteria,BAD48434.1
O04536,UniRef50_O04536,2.4.1.-,Eukaryota,AEE35015.1
Q8Y303,UniRef50_Q9K1P9,2.6.1.16,Bacteria,CAD13706.1
Q1I2H5,UniRef50_Q87TS2,3.6.-.-,Bacteria,CAK18161.1
A6W1U0,UniRef50_A0KG25,2.1.1.228,Bacteria,ABR72669.1
B7MQD8,UniRef50_Q8XE74,2.8.1.4,Bacteria,CAR06656.1
A7MGS4,UniRef50_Q59827,3.1.5.1,Bacteria,ABU78402.1
Q7UA35,UniRef50_A5GQ11,5.2.1.8,Bacteria,CAE06580.1
B3R7A2,UniRef50_Q726D3,2.5.1.7,Bacteria,CAQ70802.1
B5R2Y9,UniRef50_Q8ZNE9,4.2.99.20,Bacteria,CAR33874.1
P67573,UniRef50_P54262,6.1.1.22,Bacteria,CAD46216.1
Q2GEB1,UniRef50_Q2GEB1,6.1.1.3,Bacteria,ABD45785.1
P08148,UniRef50_P08148,3.4.24.36,Eukaryota,CAA68673.1
A0AJS8,UniRef50_Q8Y676,2.1.2.9,Bacteria,CAK21260.1
D2Z027,UniRef50_D2Z027,2.6.99.3; 2.5.1.47,Bacteria,BAI70378.1
Q3SWF2,UniRef50_Q89WM3,3.6.1.31,Bacteria,ABA03389.1
Q324R5,UniRef50_Q0I1H8,2.8.1.8,Bacteria,ABB65193.1
Q97RH6,UniRef50_Q9CFM3,2.7.1.33,Bacteria,AAK74970.1
Q9LNU1,UniRef50_Q9LNU1,3.4.14.10,Eukaryota,AAM65424.1
Q8XA06,UniRef50_Q8ZRV2,7.6.2.15,Bacteria,AAG54370.1
A4WMK4,UniRef50_A8MC64,3.5.4.13,Archaea,ABP51621.1
Q9ES52,UniRef50_Q9ES52,3.1.3.86; 3.1.3.56; 3.1.3.36,Eukaryota,AAF69143.1
C6BVE8,UniRef50_B8DNL3,5.2.1.8,Bacteria,ACS80123.1
O86090,UniRef50_Q8FF70,2.7.4.1,Bacteria,AAC34890.1
Q72DK5,UniRef50_Q72DK5,2.1.1.-,Bacteria,AAS95404.1
C9K7I3,UniRef50_C9K7B9,4.2.1.-,Eukaryota,BAI44807.1
O94966,UniRef50_O94966,3.4.19.12,Eukaryota,AAH65909.1
P32644,UniRef50_P32644,3.6.4.13,Eukaryota,AAB64703.1
P91850,UniRef50_P91850,5.3.2.1; 5.3.3.12,Eukaryota,AAB60943.1
Q72S65,UniRef50_Q72S65,3.5.1.44,Bacteria,AAS70117.1
P54518,UniRef50_P54518,3.4.-.-,Bacteria,CAB14377.1
P07968,UniRef50_P07975,3.1.1.53,Viruses,AAA43792.1
P00893,UniRef50_P00893,2.2.1.6,Bacteria,BAB96646.2
P43816,UniRef50_Q7MLR5,6.1.1.16,Bacteria,AAC21753.1
P24158,UniRef50_P24158,3.4.21.76,Eukaryota,EAW69591.1
Q6ZIK0,UniRef50_Q9ZSK1,2.1.1.95,Eukaryota,BAD07529.1
A3M311,UniRef50_Q6FDS2,2.3.2.29,Bacteria,ABO11305.2
A0LDX4,UniRef50_Q31ED4,2.7.2.8,Bacteria,ABK46167.1
Q2H0X9,UniRef50_Q4ILH3,2.-.-.-,Eukaryota,EAQ87948.1
Q8LRK8,UniRef50_Q8LRK8,3.5.1.98,Eukaryota,AED97419.1
Q46DT6,UniRef50_Q8TUQ0,3.1.1.61; 3.5.1.44,Archaea,AAZ69956.1
Q8W490,UniRef50_Q8W490,2.7.11.-,Eukaryota,AAL32832.1
Q7SX99,UniRef50_Q7SX99,4.2.1.2,Eukaryota,AAH66484.1
B4RCW4,UniRef50_Q07607,4.3.3.7,Bacteria,ACG78301.1
A7ZHK9,UniRef50_Q607L0,4.1.1.50,Bacteria,ABV20547.1
Q891J6,UniRef50_Q891J6,5.2.1.8,Bacteria,AAO36849.1
P35916,UniRef50_P35916,2.7.10.1,Eukaryota,CAA48290.1
Q12354,UniRef50_Q12354,3.1.2.-,Eukaryota,AAS56265.1
P47154,UniRef50_P47154,3.4.24.84,Eukaryota,AAB38271.1
G4FEF4,UniRef50_G4FEF4,3.2.1.22,Bacteria,CAA04514.1
Q56207,UniRef50_Q56207,2.10.1.1,Bacteria,ABB57316.1
Q5EB52,UniRef50_Q5EB52,3.-.-.-,Eukaryota,CAA72297.1
P0CR42,UniRef50_P0CR42,2.1.1.-,Eukaryota,AAW41903.1
B1Q006,UniRef50_B1Q006,2.3.1.-,Eukaryota,ACB05876.1
B7MWT8,UniRef50_Q8X8T4,2.4.2.17,Bacteria,CAR08554.2
B7KKT8,UniRef50_B7KKT8,3.1.1.96,Bacteria,ACK71057.1
Q99708,UniRef50_Q99708,3.1.-.-,Eukaryota,AAC14371.1
O23680,UniRef50_O23680,3.6.5.-,Eukaryota,ABF74715.1
Q8Z326,UniRef50_Q8FB77,4.1.99.17,Bacteria,AAO70983.1
A7ZEJ3,UniRef50_P55995,3.4.21.53,Bacteria,EAT98804.1
E2IHE0,UniRef50_E2IHE0,4.2.1.133,Eukaryota,ADJ93862.1
P11245,UniRef50_P11245,2.3.1.5,Eukaryota,ABC26150.1
Q8ENX2,UniRef50_O32114,5.1.1.7,Bacteria,BAC14310.1
P00480,UniRef50_P00480,2.1.3.3,Eukaryota,EAW59439.1
F4KF16,UniRef50_F4KF16,2.4.1.-,Eukaryota,AAL77666.1
P9WQA1,UniRef50_Q7NKF0,6.3.5.7,Bacteria,CCP45817.1
B0RUZ9,UniRef50_B2SIT8,3.7.1.3,Bacteria,CAP52068.1
O46043,UniRef50_O46043,3.2.1.143,Eukaryota,AAK93379.1
B5E5U9,UniRef50_Q48661,3.5.1.88,Bacteria,ACF55009.1
P17562,UniRef50_Q9SJL8,2.5.1.6,Eukaryota,AAL61934.1
Q18026,UniRef50_Q18026,3.7.1.3,Eukaryota,AAG50225.1
Q2FVS1,UniRef50_Q49ZR8,3.2.2.-,Bacteria,ABD31630.1
B1Z9R0,UniRef50_Q89KU5,6.3.4.2,Bacteria,ACB83296.1
B1JYB1,UniRef50_Q2RNY6,3.6.5.n1,Bacteria,ACA90267.1
Q8RXN9,UniRef50_Q93ZI4,3.2.1.21,Eukaryota,AAL87256.1
A5U598,UniRef50_Q2JDK2,3.6.5.n1,Bacteria,ABQ74198.1
Q8Y6M0,UniRef50_Q8Y6M0,2.5.1.6,Bacteria,CAC99742.1
B0TK04,UniRef50_Q9PDT8,4.2.1.11,Bacteria,ABZ75791.1
P15105,UniRef50_P09606,6.3.1.2; 2.3.1.225,Eukaryota,BAE34822.1
P09581,UniRef50_P07333,2.7.10.1,Eukaryota,BAB23691.1
A5GFW8,UniRef50_Q6ZNI0,2.4.1.-,Eukaryota,CAN13142.1
Q3IKR4,UniRef50_Q8EGS1,2.7.1.23,Bacteria,CAI86295.1
Q9CR08,UniRef50_O95707,3.1.26.5,Eukaryota,AAH11465.1
Q2UH11,UniRef50_Q9UV64,2.8.1.9,Eukaryota,BAE59154.1
B0SKQ2,UniRef50_B0SCM4,6.1.1.17,Bacteria,ABZ96809.1
Q46E35,UniRef50_Q46E35,6.3.5.7,Archaea,AAZ69857.1
O60911,UniRef50_P07154,3.4.22.43,Eukaryota,AAC23598.1
Q96P26,UniRef50_Q96P26,3.1.3.5,Eukaryota,AAK39108.1
P23469,UniRef50_P49446,3.1.3.48,Eukaryota,AAH50062.1
B4KBH3,UniRef50_Q9VBX2,2.8.1.12,Eukaryota,EDW13640.1
Q0RH06,UniRef50_A0QWW3,2.7.2.3,Bacteria,CAJ63229.1
Q5GTG9,UniRef50_Q9ZDV8,3.5.1.88,Bacteria,AAW70705.1
Q6D0F3,UniRef50_Q8ZRV2,7.6.2.15,Bacteria,CAG76744.1
Q8D8Q6,UniRef50_Q87QK5,3.5.4.19; 3.6.1.31,Bacteria,AAO11246.1
Q8CMN2,UniRef50_Q5HRU2,3.5.1.28,Bacteria,AAO05961.1
Q87JH5,UniRef50_P74287,5.3.3.2,Bacteria,BAC61621.1
P14958,UniRef50_P00877,4.1.1.39,Eukaryota,CAA33896.1
B0XSH8,UniRef50_Q5B0R3,2.3.1.1,Eukaryota,EDP54664.1
P35886,UniRef50_A0A0G2Q9D6,5.6.2.2,Bacteria,CAB92994.1
Q8K9J2,UniRef50_P57435,2.7.7.7,Bacteria,AAM67896.1
A7MXT4,UniRef50_P44922,3.6.4.13,Bacteria,ABU69360.1
B0SCT0,UniRef50_B1GYN1,4.3.3.7,Bacteria,ABZ93242.1
P36286,UniRef50_Q66914,3.6.1.15; 2.7.7.48; 3.4.22.66,Viruses,AAA96501.2
Q8RU60,UniRef50_P00875,4.1.1.39,Eukaryota,CAC88052.1
Q9PQ42,UniRef50_B5ZBT5,3.6.4.12,Bacteria,AAF30860.1
Q2Y7B6,UniRef50_P36175,2.3.1.234,Bacteria,ABB75355.1
Q61881,UniRef50_P33993,3.6.4.12,Eukaryota,AAH65164.1
O95822,UniRef50_O95822,4.1.1.9,Eukaryota,AAH00286.1
P51785,UniRef50_P51785,4.2.1.9,Bacteria,CAB14105.2
Q8L539,UniRef50_Q8L539,6.3.3.2,Eukaryota,AED91845.1
Q9FN02,UniRef50_Q9FN02,3.1.3.16,Eukaryota,CAA03886.1
Q69ZP3,UniRef50_Q8N490,3.-.-.-,Eukaryota,AAH58945.1
P08203,UniRef50_P08203,5.1.3.4,Bacteria,AAA23464.1
B0UWM2,UniRef50_Q82D17,2.7.7.56,Bacteria,ACA31959.1
Q0CKU1,UniRef50_Q4WID9,2.7.1.-,Eukaryota,EAU33454.1
Q68G58,UniRef50_Q9UBZ4,3.1.-.-; 4.2.99.18,Eukaryota,BAC38287.1
Q7VWH8,UniRef50_Q9I433,3.11.1.1,Bacteria,CAE42549.1
Q65MU0,UniRef50_P29727,6.3.5.2,Bacteria,AAU39624.1
Q87LQ3,UniRef50_Q5E329,4.6.1.12,Bacteria,BAC60821.1
Q8LB81,UniRef50_Q8LB81,3.1.1.-,Eukaryota,AAM64916.1
P40483,UniRef50_P40483,3.4.24.-,Eukaryota,DAA08445.1
Q0HQI7,UniRef50_Q8E9H0,2.5.1.61,Bacteria,ABI44618.1
Q9TTU2,UniRef50_Q9FJI1,2.7.4.3,Eukaryota,AAF09498.1
Q8A407,UniRef50_Q27580,3.3.1.1,Bacteria,AAO77903.1
Q9Z767,UniRef50_Q9Z767,4.1.1.65,Bacteria,AAF38806.1
Q8CMY5,UniRef50_Q4L9B6,4.1.2.13,Bacteria,AAO05798.1
A0A140NCB4,UniRef50_P0A843,3.5.1.128,Bacteria,ACT30034.1
Q9Y3B8,UniRef50_Q9Y3B8,3.1.-.-,Eukaryota,AAI07888.1
P10620,UniRef50_P10620,2.5.1.18,Eukaryota,BAF83837.1
O16977,UniRef50_O16977,3.4.24.-,Eukaryota,CCD72452.1
Q8NQA1,UniRef50_Q8FTB1,4.99.1.1,Bacteria,CAF21545.1
B7MR21,UniRef50_A7ZUE7,3.4.25.2,Bacteria,CAR10604.1
Q99Y73,UniRef50_Q8DSD1,3.1.-.-,Bacteria,AAK34559.1
Q9S745,UniRef50_Q9S745,2.3.1.-,Eukaryota,ABZ02892.1
P39055,UniRef50_P39055,3.6.5.5,Eukaryota,CAC42251.1
Q9R062,UniRef50_P46976,2.4.1.186,Eukaryota,BAE35197.1
P0CL19,UniRef50_P0CL19,5.3.1.-,Eukaryota,EAS29186.1
Q55637,UniRef50_Q55637,3.1.26.3,Bacteria,BAA10153.1
P03923,UniRef50_P03923,7.1.1.2,Eukaryota,AAR94665.1
Q12472,UniRef50_Q07163,3.4.23.-; 2.7.7.49; 2.7.7.7; 3.1.26.4,Eukaryota,CAA92372.1
Q44737,UniRef50_Q44737,2.7.13.3,Bacteria,AAC44771.1
Q8X5W3,UniRef50_Q8ZPS5,2.7.7.-; 2.7.7.n1,Bacteria,AAG56693.1
Q6FYL6,UniRef50_A6WXW1,6.1.1.4,Bacteria,CAF26690.1
B2TZV6,UniRef50_Q8FI04,2.7.1.148,Bacteria,ACD08910.1
P55132,UniRef50_P0A3I3,2.3.1.-,Bacteria,AAB17219.1
Q7DMA9,UniRef50_Q7DMA9,5.2.1.8,Eukaryota,AEE79175.1
Q1CRX3,UniRef50_P56737,2.4.2.18,Bacteria,ABF85299.1
B3PW72,UniRef50_Q8UD04,4.3.2.3,Bacteria,ACE92309.1
Q5N326,UniRef50_Q31R74,7.1.1.-,Bacteria,BAD79294.1
B0Z4W6,UniRef50_P56757,7.1.2.2,Eukaryota,ABW98878.1
A9KBK7,UniRef50_Q5ZRU1,7.1.1.-,Bacteria,ABS78327.2
B7UI83,UniRef50_Q8XA34,6.2.1.48,Bacteria,CAS07586.1
Q65XS5,UniRef50_Q65XS5,2.4.-.-,Eukaryota,ABN72585.1
Q4J7W0,UniRef50_Q4J7W0,3.2.1.28,Archaea,AAY81122.1
Q9D6N1,UniRef50_Q9D6N1,4.2.1.1,Eukaryota,AAH64050.1
B7MQD7,UniRef50_Q6D842,3.1.11.6,Bacteria,CAR06655.1
Q40353,UniRef50_Q39023,2.7.11.24,Eukaryota,CAA57719.1
E7KDY6,UniRef50_Q5B8K4,3.4.21.89,Eukaryota,EGA74486.1
Q70CQ2,UniRef50_Q70CQ2,3.4.19.12,Eukaryota,BAA25496.2
Q641K1,UniRef50_Q641K1,3.4.17.-,Eukaryota,BAB24963.2
Q6LVM8,UniRef50_Q7MY37,2.7.7.3,Bacteria,CAG18647.1
C1AQC2,UniRef50_P63842,2.4.2.21,Bacteria,BAH26501.1
Q8ZIE3,UniRef50_Q6LMG1,3.5.1.108,Bacteria,CAL19240.1
Q6BNQ8,UniRef50_P25582,2.1.1.-,Eukaryota,CAG88435.2
B4S8V2,UniRef50_Q92J82,6.1.1.23,Bacteria,ACF46489.1
Q81MJ2,UniRef50_Q5L1E2,5.3.2.5,Bacteria,AAT56247.1
Q4ZVY9,UniRef50_Q88LM9,2.7.1.130,Bacteria,AAY36683.1
Q5F5J8,UniRef50_Q9K1R6,6.1.1.17,Bacteria,AAW90539.1
P13676,UniRef50_P13798,3.4.19.1,Eukaryota,AAA88506.1
Q7KWM9,UniRef50_Q7KWM9,3.2.2.1; 3.2.2.8,Eukaryota,EAL71006.1
Q8RX29,UniRef50_Q8RX29,2.3.2.27,Eukaryota,AAM13985.1
A5CEC8,UniRef50_A5CEC8,6.3.5.7,Bacteria,CAM80433.1
B0SKC1,UniRef50_Q8EYU4,6.5.1.2,Bacteria,ABZ96362.1
Q9SUT0,UniRef50_Q9SUS9,3.4.22.-,Eukaryota,AAM13065.1
P11217,UniRef50_P06737,2.4.1.1,Eukaryota,AAA60231.1
Q6NTT6,UniRef50_Q969V5,2.3.2.27,Eukaryota,AAH68869.1
Q492Q3,UniRef50_Q6D691,2.3.1.274,Bacteria,AAZ41043.1
P51263,UniRef50_O68973,4.-.-.-,Eukaryota,AAC08149.1
A0K493,UniRef50_Q6D0I9,3.5.1.108,Bacteria,ABK07320.1
Q1JCF0,UniRef50_Q9A0D0,2.4.2.9,Bacteria,ABF35758.1
Q2Y5G5,UniRef50_Q9KR02,3.6.4.12,Bacteria,ABB76006.1
A5E8G9,UniRef50_Q89WP6,2.1.1.170,Bacteria,ABQ32463.1
Q2MHH3,UniRef50_Q2MHH4,3.6.4.12,Eukaryota,BAE78502.1
O95803,UniRef50_O95803,2.8.2.8; 3.-.-.-; 2.8.2.-,Eukaryota,AAD15978.1
Q8IW45,UniRef50_Q8IW45,4.2.1.93,Eukaryota,AAH41028.1
Q8ZVM1,UniRef50_Q8ZVM1,3.4.25.1,Archaea,AAL64035.1
A5VRI5,UniRef50_A1UTD3,2.1.1.199,Bacteria,ABQ60687.1
B7UR24,UniRef50_P39432,3.6.1.-,Bacteria,CAS12242.1
Q8INF0,UniRef50_Q8INF0,4.6.1.2,Eukaryota,AAQ84038.1
P35930,UniRef50_P03600,3.6.4.-; 3.4.22.-; 2.7.7.48,Viruses,BAA00547.1
Q2HJD5,UniRef50_Q9NTX5,4.1.1.94,Eukaryota,AAI05550.1
Q6Z6L1,UniRef50_Q6Z6K9,4.2.1.92,Eukaryota,BAS77678.1
Q9SH76,UniRef50_P19456,7.1.2.1,Eukaryota,AAO22672.1
Q9Z7Q4,UniRef50_Q9Z7Q4,2.3.1.129,Bacteria,AAD18789.1
E0SPG5,UniRef50_E0SPG5,6.3.4.22,Archaea,ADM26908.1
C4XJU6,UniRef50_Q72AV1,5.3.1.28,Bacteria,BAH74301.1
Q2A342,UniRef50_Q9KVY5,3.6.-.-,Bacteria,CAJ79616.1
Q9M7K8,UniRef50_Q9SJL8,2.5.1.6,Eukaryota,AAF42974.1
P24893,UniRef50_P24893,7.1.1.9,Eukaryota,AAO16252.1
Q8VZ10,UniRef50_Q8VZ10,3.1.3.-,Eukaryota,AAG51506.1
