Entry	Entry name	Length	EC number	Cross-reference (Pfam)	Taxonomic lineage (SUPERKINGDOM)
N4WEA4	LAM1_COCH4	475	1.1.-.-	PF00725;	Eukaryota
B6EK11	MAO1_ALISL	562	1.1.1.38	PF00390;PF03949;	Bacteria
P12635	MBHS_BRADU	363	1.12.99.6	PF14720;PF01058;	Bacteria
Q1RBT9	MAO1_ECOUT	565	1.1.1.38	PF00390;PF03949;	Bacteria
A1S8W7	MAO1_SHEAM	562	1.1.1.38	PF00390;PF03949;	Bacteria
B5QTN6	MAO1_SALEP	565	1.1.1.38	PF00390;PF03949;	Bacteria
P17633	MBHS_RUBGE	361	1.12.99.6	PF14720;PF01058;	Bacteria
B5RAB4	MAO1_SALG2	565	1.1.1.38	PF00390;PF03949;	Bacteria
Q8U0Z7	MBHLB_PYRFU	173	1.12.7.2	PF00329;	Archaea
B5XSQ7	MDH_KLEP3	312	1.1.1.37	PF02866;PF00056;	Bacteria
B3EEE5	MDH_CHLL2	310	1.1.1.37	PF02866;PF00056;	Bacteria
Q7NHJ3	MDH_GLOVI	325	1.1.1.37	PF02866;PF00056;	Bacteria
B3QSH8	MDH_CHLT3	310	1.1.1.37	PF02866;PF00056;	Bacteria
Q0BXA0	MDH_HYPNA	320	1.1.1.37	PF02866;PF00056;	Bacteria
A4QGA0	MDH_CORGB	328	1.1.1.37	PF02866;PF00056;	Bacteria
B9M1D2	MDH_GEODF	318	1.1.1.37	PF02866;PF00056;	Bacteria
Q5YTI1	MDH_NOCFA	334	1.1.1.37	PF02866;PF00056;	Bacteria
Q3ZZJ7	MDH_DEHMC	307	1.1.1.37	PF02866;PF00056;	Bacteria
O27784	MER_METTH	321	1.5.98.2	PF00296;	Archaea
A1SMP3	MDH_NOCSJ	328	1.1.1.37	PF02866;PF00056;	Bacteria
Q126N9	MDH_POLSJ	328	1.1.1.37	PF02866;PF00056;	Bacteria
Q9UXP0	MER_METTI	326	1.5.98.2	PF00296;	Archaea
B0UCF0	MDH_METS4	320	1.1.1.37	PF02866;PF00056;	Bacteria
O29196	MER_ARCFU	332	1.5.98.2	PF00296;	Archaea
P86074	MDHM_CAPAA	35	1.1.1.37		Eukaryota
B4SLI5	MDH_STRM5	328	1.1.1.37	PF02866;PF00056;	Bacteria
Q7UNC6	MDH_RHOBA	315	1.1.1.37	PF02866;PF00056;	Bacteria
Q8T773	MDH1B_BRAFL	522	1.1.1.-	PF02866;PF00056;	Eukaryota
B9KZS7	MDH_THERP	309	1.1.1.37	PF02866;PF00056;	Bacteria
B7GW58	MDH_ACIB3	328	1.1.1.37	PF02866;PF00056;	Bacteria
P80541	MDH_STEMA	110	1.1.1.37	PF00056;	Bacteria
A5E935	MDH_BRASB	322	1.1.1.37	PF02866;PF00056;	Bacteria
A3N1U6	MDH_ACTP2	317	1.1.1.37	PF02866;PF00056;	Bacteria
Q05145	MDHP_MESCR	441	1.1.1.82	PF02866;PF00056;	Eukaryota
P10584	MDH_THETH	327	1.1.1.37	PF02866;PF00056;	Bacteria
Q9K3J3	MDH_STRCO	329	1.1.1.37	PF02866;PF00056;	Bacteria
Q633K5	MDH_BACCZ	312	1.1.1.37	PF02866;PF00056;	Bacteria
A0KG16	MDH_AERHH	311	1.1.1.37	PF02866;PF00056;	Bacteria
Q57AX1	MDH_BRUAB	320	1.1.1.37	PF02866;PF00056;	Bacteria
O54235	METF_STRLI	307	1.5.1.20	PF02219;	Bacteria
P57154	METF_BUCAI	292	1.5.1.20	PF02219;	Bacteria
P71319	METF_PECCC	298	1.5.1.20	PF02219;	Bacteria
Q8L799	MIOX1_ARATH	311	1.13.99.1	PF05153;	Eukaryota
C3SAH7	MLAC1_METAN	603	1.10.3.-	PF00394;PF07731;PF07732;	Eukaryota
Q0T2G1	MNMC_SHIF8	668	2.1.1.61; 1.5.-.-	PF01266;PF05430;	Bacteria
Q9EQ20	MMSA_MOUSE	535	1.2.1.18; 1.2.1.27	PF00171;	Eukaryota
Q02252	MMSA_HUMAN	535	1.2.1.18; 1.2.1.27	PF00171;	Eukaryota
C1EYZ6	MQO_BACC3	500	1.1.5.4	PF06039;	Bacteria
A8IPQ8	MSRA_AZOC5	218	1.8.4.11	PF01625;	Bacteria
Q5HL19	MQO4_STAEQ	499	1.1.5.4	PF06039;	Bacteria
Q7VPC3	MQO_HAEDU	489	1.1.5.4	PF06039;	Bacteria
B2I399	MSRA_ACIBC	173	1.8.4.11	PF01625;	Bacteria
Q8CMY4	MQO4_STAES	499	1.1.5.4	PF06039;	Bacteria
C1DGW5	MSRA_AZOVD	216	1.8.4.11	PF01625;	Bacteria
P65424	MQO2_STAAM	498	1.1.5.4	PF06039;	Bacteria
P65422	MQO1_STAAN	492	1.1.5.4	PF06039;	Bacteria
P65420	MQO_MYCBO	493	1.1.5.4	PF06039;	Bacteria
Q8Y1C6	MSRA_RALSO	191	1.8.4.11	PF01625;	Bacteria
Q8D1V2	MQO_WIGBR	510	1.1.5.4	PF06039;	Bacteria
Q827H4	MSOX_STRAW	384	1.5.3.1	PF01266;	Bacteria
Q0AY75	MURB_SYNWW	299	1.3.1.98	PF01565;PF02873;	Bacteria
Q3AI20	MTND_SYNSC	186	1.13.11.54; 1.13.11.53	PF03079;	Bacteria
Q04JV9	MURB_STRP2	316	1.3.1.98	PF01565;PF02873;	Bacteria
Q8D243	MURB_WIGBR	340	1.3.1.98	PF01565;PF02873;	Bacteria
Q0ICL5	MTND_SYNS3	202	1.13.11.54; 1.13.11.53	PF03079;	Bacteria
C0NZU2	MTND_AJECG	176	1.13.11.54	PF03079;	Eukaryota
Q3ZBL1	MTND_BOVIN	179	1.13.11.54	PF03079;	Eukaryota
Q47UY2	MURB_COLP3	368	1.3.1.98	PF01565;PF02873;	Bacteria
Q5FL42	MURB_LACAC	298	1.3.1.98	PF01565;PF02873;	Bacteria
Q5KD76	MTND_CRYNJ	187	1.13.11.54	PF03079;	Eukaryota
Q1RHX1	MURB_RICBR	302	1.3.1.98	PF01565;PF02873;	Bacteria
Q31U21	MURB_SHIBS	342	1.3.1.98	PF01565;PF02873;	Bacteria
B8ZT90	MURB_MYCLB	367	1.3.1.98	PF01565;PF02873;	Bacteria
Q1ASA8	MURB_RUBXD	297	1.3.1.98	PF01565;PF02873;	Bacteria
Q4FT57	MURB_PSYA2	373	1.3.1.98	PF01565;PF02873;	Bacteria
Q2RVU6	MURB_RHORT	319	1.3.1.98	PF01565;PF02873;	Bacteria
O25963	MURB_HELPY	259	1.3.1.98	PF02873;	Bacteria
B2VHZ5	MSRA_ERWT9	178	1.8.4.11	PF01625;	Bacteria
P13702	MVAA_PSEMV	428	1.1.1.88	PF00368;	Bacteria
P61616	MURB_RHOPA	309	1.3.1.98	PF01565;PF02873;	Bacteria
P25566	MXR2_YEAST	168	1.8.4.12	PF01641;	Eukaryota
Q65JX9	MURB_BACLD	303	1.3.1.98	PF01565;PF02873;	Bacteria
Q7W509	MURB_BORPA	353	1.3.1.98	PF01565;PF02873;	Bacteria
A5VDC3	MURB_SPHWW	306	1.3.1.98	PF01565;PF02873;	Bacteria
B3ETU4	MURB_AMOA5	339	1.3.1.98	PF01565;PF02873;	Bacteria
A6RGF3	MTLD_AJECN	388	1.1.1.17	PF01232;PF08125;	Eukaryota
B7HNI1	NAMA_BACC7	345	1.6.99.1	PF00724;	Bacteria
Q0CXS6	MTLD_ASPTN	388	1.1.1.17	PF01232;PF08125;	Eukaryota
B6QP49	MTLD_TALMQ	389	1.1.1.17	PF01232;PF08125;	Eukaryota
C3P7Z9	NAMA_BACAA	345	1.6.99.1	PF00724;	Bacteria
O24592	NCED1_MAIZE	604	1.13.11.51	PF03055;	Eukaryota
Q6CCH0	NDOR1_YARLI	688	1.18.1.-	PF00667;PF00258;PF00175;	Eukaryota
C3LWV8	MTLD_VIBCM	384	1.1.1.17	PF01232;PF08125;	Bacteria
Q12181	NDOR1_YEAST	623	1.18.1.-	PF00667;PF00258;PF00175;	Eukaryota
Q3SYT8	NCPR_BOVIN	678	1.6.2.4	PF00667;PF00258;PF00175;	Eukaryota
Q0MQG4	NDUS2_GORGO	463	1.6.99.3; 7.1.1.2	PF00346;	Eukaryota
Q0MQG8	NDUS3_PANTR	264	1.6.99.3; 7.1.1.2	PF00329;	Eukaryota
P49821	NDUV1_HUMAN	464	1.6.99.3; 7.1.1.2	PF01512;PF10589;PF10531;	Eukaryota
P49820	NDUV2_CANLF	11	1.6.99.3; 7.1.1.2		Eukaryota
A7GZP5	NAPA_CAMC5	926	1.9.6.1	PF04879;PF00384;PF01568;	Bacteria
Q8VL02	NAPA_AGGAC	828	1.9.6.1	PF04879;PF00384;PF01568;PF10518;	Bacteria
Q8ZNH6	NAPA_SALTY	828	1.9.6.1	PF04879;PF00384;PF01568;	Bacteria
Q0T2R8	NAPA_SHIF8	828	1.9.6.1	PF04879;PF00384;PF01568;	Bacteria
Q929Z2	NADB_LISIN	484	1.4.3.16	PF00890;	Bacteria
P52965	NIFJ_SYNY3	1199	1.2.7.-	PF10371;PF17147;PF01558;PF01855;PF02775;	Bacteria
Q9V2R0	NADB_PYRAB	464	1.4.3.16	PF00890;PF02910;	Archaea
O31183	NIFH_RHOSH	291	1.18.6.1	PF00142;	Bacteria
Q9L9F9	NOVI_STRNV	407	1.14.-.-	PF00067;	Bacteria
P51602	NIFH1_METIV	275	1.18.6.1	PF00142;	Archaea
P0A8G8	NQOR_SHIFL	198	1.6.5.2	PF03358;	Bacteria
P38501	NIR_ALCFA	376	1.7.2.1	PF00394;PF07732;	Bacteria
O29904	NQOR_ARCFU	191	1.6.5.2	PF03358;	Archaea
B5XXP0	NQOR_KLEP3	198	1.6.5.2	PF03358;	Bacteria
B4NP88	NO66_DROWI	767	1.14.11.-; 1.14.11.27	PF08007;	Eukaryota
A0A2I6PIZ8	NODY2_HYPPI	461	1.-.-.-	PF00890;PF01494;	Eukaryota
A7ZYV7	NQOR_ECOHS	198	1.6.5.2	PF03358;	Bacteria
P25710	NUJM_NEUCR	200	1.6.99.3; 7.1.1.2		Eukaryota
A1D8J0	NSCC_NEOFI	408	1.-.-.-		Eukaryota
J4VWM7	OPS4_BEAB2	427	1.-.-.-	PF01494;	Eukaryota
Q96A73	P33MX_HUMAN	305	1.-.-.-	PF15302;	Eukaryota
Q9V0N0	PANE_PYRAB	300	1.1.1.169	PF02558;PF08546;	Archaea
P46881	PAOX_ARTGO	638	1.4.3.21	PF01179;PF02728;	Bacteria
Q3AXI3	PCYA_SYNS9	246	1.3.7.5	PF05996;	Bacteria
P58719	PDXA_YERPE	331	1.1.1.262	PF04166;	Bacteria
B4TBN9	PDXB_SALHS	378	1.1.1.290	PF00389;PF02826;PF11890;	Bacteria
B1IXM2	PDXB_ECOLC	378	1.1.1.290	PF00389;PF02826;PF11890;	Bacteria
B2S9Q7	PDXH_BRUA1	203	1.4.3.5	PF10590;PF01243;	Bacteria
Q3V7Q4	PDXA_YERPS	331	1.1.1.262	PF04166;	Bacteria
A8FWJ0	PDXH_SHESH	213	1.4.3.5	PF10590;PF01243;	Bacteria
A7GFE5	PDXA2_CLOBL	334	1.1.1.408	PF04166;	Bacteria
C5PA86	ARO1_COCP7	1589	4.2.3.4; 2.5.1.19; 2.7.1.71; 4.2.1.10; 1.1.1.25	PF01761;PF01487;PF00275;PF18317;PF08501;PF01202;	Eukaryota
A1K3B9	AROE_AZOSB	281	1.1.1.25	PF18317;PF01488;PF08501;	Bacteria
Q2SXN9	ASTD_BURTA	487	1.2.1.71	PF00171;	Bacteria
Q2YSA2	AZO1_STAAB	188	1.7.-.-	PF03358;	Bacteria
Q1LX59	C2512_DANRE	276	1.14.99.-	PF04116;	Eukaryota
A6T613	BETA_KLEP7	554	1.1.99.1; 1.2.1.8	PF05199;PF00732;	Bacteria
A8AJN0	BETA_CITK8	558	1.1.99.1; 1.2.1.8	PF05199;PF00732;	Bacteria
P80602	BAS1_WHEAT	210	1.11.1.15	PF10417;PF00578;	Eukaryota
C3VEQ4	CCD1_ONCHC	562	1.14.99.n4	PF03055;	Eukaryota
P0A327	CATA_BRUAB	499	1.11.1.6	PF00199;PF06628;	Bacteria
Q9L4S1	CATA_STAAU	505	1.11.1.6	PF00199;PF06628;	Bacteria
Q2MJ21	C7A67_MEDTR	520	1.14.13.-	PF00067;	Eukaryota
Q7KWN2	C525A_DICDI	601	1.14.-.-	PF00067;	Eukaryota
O22380	CADH_LOLPR	361	1.1.1.195	PF08240;PF00107;	Eukaryota
O65782	C83B1_ARATH	499	1.14.14.45	PF00067;	Eukaryota
P28372	CHLN_SYNY3	469	1.3.7.7	PF00148;	Bacteria
F8S1H3	C7BL1_HELAN	488	1.14.14.168	PF00067;	Eukaryota
Q115L3	CHLN_TRIEI	465	1.3.7.7	PF00148;	Bacteria
A2BQ25	CHLB_PROMS	523	1.3.7.7	PF00148;PF08369;	Bacteria
O18596	C4D10_DROMT	513	1.14.-.-	PF00067;	Eukaryota
Q5PRC0	CH25H_DANRE	251	1.14.99.38	PF04116;	Eukaryota
Q2HEW4	CHG3_CHAGB	377	1.-.-.-		Eukaryota
P37848	CHLB_DIPCM	103	1.3.7.7	PF00148;	Eukaryota
P37843	CHLB_ARAHE	103	1.3.7.7	PF00148;	Eukaryota
Q6BKY9	CCPR_DEBHA	360	1.11.1.5	PF00141;	Eukaryota
O30847	CLCE_PSEKB	352	1.3.1.32	PF00465;	Bacteria
P76254	CNTB_ECOLI	321	1.14.13.239	PF00970;PF00111;PF00175;	Bacteria
B9JVB6	CTAA_AGRVS	364	1.3.-.-	PF02628;	Bacteria
P0CU71	CLAN_PASFU	218	1.-.-.-	PF00106;	Eukaryota
A2YUQ6	CITRX_ORYSI	189	1.8.-.-	PF00085;	Eukaryota
Q4G2T3	DESAT_THAPS	515	1.14.19.19	PF00173;PF00487;	Eukaryota
Q3A221	DFX_PELCD	126	1.15.1.2	PF06397;PF01880;	Bacteria
Q32BY7	E4PD_SHIDS	339	1.2.1.72	PF02800;PF00044;	Bacteria
Q0TDS9	E4PD_ECOL5	339	1.2.1.72	PF02800;PF00044;	Bacteria
B5BFN5	E4PD_SALPK	348	1.2.1.72	PF02800;PF00044;	Bacteria
A4WE72	E4PD_ENT38	339	1.2.1.72	PF02800;PF00044;	Bacteria
B7MZM0	E4PD_ECO81	339	1.2.1.72	PF02800;PF00044;	Bacteria
Q7N7Z6	E4PD_PHOLL	339	1.2.1.72	PF02800;PF00044;	Bacteria
Q0TJ48	EFEB_ECOL5	423	1.11.1.-	PF04261;	Bacteria
Q666Q0	E4PD_YERPS	338	1.2.1.72	PF02800;PF00044;	Bacteria
K7N5M8	DYP2_AMYS7	464	1.11.1.16; 1.11.1.19; 1.11.1.7		Bacteria
P9WNX0	DYR_MYCTO	161	1.5.1.3	PF00186;	Bacteria
B0RW72	DXR_XANCB	396	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
P0C0P0	DYR_STAEP	161	1.5.1.3	PF00186;	Bacteria
P43084	EBP1_CANAX	407	1.6.99.1	PF00724;	Eukaryota
Q5HPB1	DYR_STAEQ	161	1.5.1.3	PF00186;	Bacteria
P04753	DYR_MESAU	187	1.5.1.3	PF00186;	Eukaryota
Q9RZN1	DPS2_DEIRA	241	1.16.-.-	PF00210;	Bacteria
P21050	E10_VACCC	95	1.8.3.2	PF04805;	Viruses
B4T089	DPS_SALNS	167	1.16.-.-	PF00210;	Bacteria
A1CNY3	DUS3_ASPCL	728	1.3.1.89	PF01207;	Eukaryota
B2TVB6	DPS_SHIB3	167	1.16.-.-	PF00210;	Bacteria
P0A547	DYR_MYCBO	161	1.5.1.3	PF00186;	Bacteria
B8J6S7	DXR_ANAD2	390	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q55024	DPS_SYNE7	176	1.16.-.-	PF00210;	Bacteria
B0B9H9	DXR_CHLT2	379	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q8FFV5	DUSC_ECOL6	316	1.3.1.-	PF01207;	Bacteria
Q819Y3	DXR2_BACCR	380	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q8ZKH4	DUSA_SALTY	332	1.3.1.-; 1.3.1.91	PF01207;	Bacteria
B7NAB2	DPS_ECOLU	167	1.16.-.-	PF00210;	Bacteria
P44794	DUSA_HAEIN	327	1.3.1.-; 1.3.1.91	PF01207;	Bacteria
Q9KWH3	DPS_STRMG	175	1.16.-.-	PF00210;	Bacteria
B1LMA4	DPS_ECOSM	167	1.16.-.-	PF00210;	Bacteria
Q9A709	DXR_CAUVC	399	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q5NZG9	DXR_AROAE	403	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
A5EK49	DXR_BRASB	407	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
A8FN24	DXR_CAMJ8	356	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q5FPZ1	DXR_GLUOX	408	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q59110	DSRB_ARCFU	366	1.8.99.5	PF00037;PF01077;PF03460;	Archaea
C1L2M3	DXR_LISMC	380	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q5FHA4	DXR_EHRRG	387	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q8XJR1	DXR_CLOPE	384	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q8Y7G4	DXR_LISMO	380	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q72U08	DXR_LEPIC	389	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
Q7MZX2	DSBD_PHOLL	575	1.8.1.8	PF11412;PF02683;PF13098;	Bacteria
Q55663	DXR_SYNY3	394	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
A3QG97	DXR_SHELP	395	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
C3M9M8	DXR_SINFN	391	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
A9KUL1	DXR_SHEB9	396	1.1.1.267	PF08436;PF02670;PF13288;	Bacteria
G5EBV0	EGL9_CAEEL	723	1.14.11.29	PF13640;PF01753;	Eukaryota
Q8BHR2	ENOX1_MOUSE	643	1.-.-.-; 1.-.-.-	PF00076;	Eukaryota
Q12452	ERG27_YEAST	347	1.1.1.270	PF00106;	Eukaryota
Q93HE4	FABV_STRAW	392	1.3.1.9	PF07055;PF12242;PF12241;	Bacteria
P0AEK3	FABG_SHIFL	244	1.1.1.100		Bacteria
P73574	FABG_SYNY3	247	1.1.1.100		Bacteria
Q93X62	FABG1_BRANA	320	1.1.1.100		Eukaryota
A9R5S2	FABV_YERPG	399	1.3.1.9	PF07055;PF12242;PF12241;	Bacteria
Q9YAW4	GYAR_AERPE	335	1.1.1.26	PF00389;PF02826;	Archaea
Q8EPM7	HEM1_OCEIH	457	1.2.1.70	PF00745;PF05201;PF01488;	Bacteria
A3MFT3	HEM1_BURM7	434	1.2.1.70	PF00745;PF05201;PF01488;	Bacteria
A7Z7A7	HEM1_BACVZ	455	1.2.1.70	PF00745;PF05201;PF01488;	Bacteria
O69108	HEM1_PAEMA	437	1.2.1.70	PF00745;PF05201;PF01488;	Bacteria
C0QS44	HEM1_PERMH	438	1.2.1.70	PF00745;PF05201;PF01488;	Bacteria
Q6D552	HEM1_PECAS	418	1.2.1.70	PF00745;PF05201;PF01488;	Bacteria
A9MW03	HEM1_SALPB	418	1.2.1.70	PF00745;PF05201;PF01488;	Bacteria
B2SZ26	HEM1_PARPJ	428	1.2.1.70	PF00745;PF05201;PF01488;	Bacteria
A5GTE8	HEM1_SYNR3	442	1.2.1.70	PF00745;PF05201;PF01488;	Bacteria
Q50756	HDRA_METTM	659	1.8.98.5	PF00037;PF13237;PF07992;	Archaea
P64331	HEM1_STAAN	448	1.2.1.70	PF00745;PF05201;PF01488;	Bacteria
C4XL87	HCP_DESMR	538	1.7.99.1	PF03063;	Bacteria
B7NPH0	HCP_ECO7I	550	1.7.99.1	PF03063;	Bacteria
B2TUK6	HCP_SHIB3	550	1.7.99.1	PF03063;	Bacteria
Q58273	HDRB2_METJA	295	1.8.98.-	PF02754;	Archaea
M2XHU6	HEXB_DOTSN	1904	2.3.1.86; 3.1.2.14; 4.2.1.59; 1.3.1.9; 2.3.1.38; 2.3.1.39	PF00698;PF08354;PF17951;PF13452;PF01575;PF16073;	Eukaryota
B5ZZA8	HGD_RHILW	453	1.13.11.5	PF04209;	Bacteria
Q6HLE7	HISX_BACHK	429	1.1.1.23	PF00815;	Bacteria
O13471	HIS2_KLULA	795	3.5.4.19; 3.6.1.31; 1.1.1.23	PF00815;PF01502;PF01503;	Eukaryota
Q5WDH8	HISX_BACSK	425	1.1.1.23	PF00815;	Bacteria
Q63Q86	HISX_BURPS	445	1.1.1.23	PF00815;	Bacteria
O25376	HEMN_HELPY	457	1.3.98.3	PF06969;PF04055;	Bacteria
O66976	HISX_AQUAE	426	1.1.1.23	PF00815;	Bacteria
Q989E7	HISX_RHILO	430	1.1.1.23	PF00815;	Bacteria
Q5YYQ0	HISX_NOCFA	445	1.1.1.23	PF00815;	Bacteria
Q8GDP4	HISX_HELMO	426	1.1.1.23	PF00815;	Bacteria
Q89XH1	HGD_BRADU	448	1.13.11.5	PF04209;	Bacteria
Q5SIJ1	HICDH_THET8	334	1.1.1.87	PF00180;	Bacteria
B7UGD5	HEM6_ECO27	299	1.3.3.3	PF01218;	Bacteria
B2S710	HEM6_BRUA1	303	1.3.3.3	PF01218;	Bacteria
P63954	HISX_STAAW	416	1.1.1.23	PF00815;	Bacteria
Q3YZA7	HEM6_SHISS	299	1.3.3.3	PF01218;	Bacteria
Q7TTP0	HMP_BORPE	402	1.14.12.17	PF00970;PF00042;PF00175;	Bacteria
E1F8Q4	HMP1_GIAIA	457	1.14.12.17	PF00970;PF00175;	Eukaryota
P72848	HEM6_SYNY3	340	1.3.3.3	PF01218;	Bacteria
P39662	HMP_CUPNH	403	1.14.12.17	PF00970;PF00042;PF00175;	Bacteria
Q9ARF9	HPPD_PLESU	436	1.13.11.27	PF00903;	Eukaryota
P77858	HYFC_ECOLI	315	1.-.-.-	PF00146;	Bacteria
B7H597	IOLA_BACC4	486	1.2.1.-; 1.2.1.27	PF00171;	Bacteria
A4IPF5	IOLA2_GEOTN	483	1.2.1.-; 1.2.1.27	PF00171;	Bacteria
O50316	IMDH_CHLP8	494	1.1.1.205	PF00571;PF00478;	Bacteria
B9IZZ7	IOLA_BACCQ	486	1.2.1.-; 1.2.1.27	PF00171;	Bacteria
Q3AEQ7	ILVC_CARHZ	330	1.1.1.86	PF01450;PF07991;	Bacteria
Q8CMQ7	IMDH_STAES	488	1.1.1.205	PF00571;PF00478;	Bacteria
Q92EQ7	IOLA_LISIN	488	1.2.1.-; 1.2.1.27	PF00171;	Bacteria
Q1R4G3	ILVC_ECOUT	491	1.1.1.86	PF01450;PF07991;	Bacteria
B8GIC5	ILVC_METPE	331	1.1.1.86	PF01450;PF07991;	Archaea
B3E5X4	ILVC_GEOLS	338	1.1.1.86	PF01450;PF07991;	Bacteria
Q11VZ3	ILVC_CYTH3	492	1.1.1.86	PF01450;PF07991;	Bacteria
A4WG34	ILVC_ENT38	491	1.1.1.86	PF01450;PF07991;	Bacteria
A9A5Y7	IMDH_NITMS	476	1.1.1.205	PF00571;PF00478;	Archaea
Q8XZZ9	IOLG_RALSO	337	1.1.1.18	PF01408;PF02894;	Bacteria
Q82NQ8	IOLG_STRAW	343	1.1.1.18	PF01408;	Bacteria
Q8PZ26	ILVC_METMA	335	1.1.1.86	PF01450;PF07991;	Archaea
Q6LVZ5	ILVC_PHOPR	494	1.1.1.86	PF01450;PF07991;	Bacteria
Q8EN66	ILVC_OCEIH	344	1.1.1.86	PF01450;PF07991;	Bacteria
B1L8U5	ILVC_THESQ	336	1.1.1.86	PF01450;PF07991;	Bacteria
Q4FUB6	ILVC_PSYA2	338	1.1.1.86	PF01450;PF07991;	Bacteria
A8G6C6	ILVC_PROM2	329	1.1.1.86	PF01450;PF07991;	Bacteria
B9KM37	ILVC_RHOSK	340	1.1.1.86	PF01450;PF07991;	Bacteria
A5VRC9	ILVC_BRUO2	339	1.1.1.86	PF01450;PF07991;	Bacteria
Q9UZ09	ILVC_PYRAB	332	1.1.1.86	PF01450;PF07991;	Archaea
B8GUB6	ILVC_THISH	338	1.1.1.86	PF01450;PF07991;	Bacteria
A7IFE5	ILVC_XANP2	339	1.1.1.86	PF01450;PF07991;	Bacteria
Q5HMG0	ILVC_STAEQ	334	1.1.1.86	PF01450;PF07991;	Bacteria
A6T9H9	KATG_KLEP7	725	1.11.1.21	PF00141;	Bacteria
A3CQ86	ILVC_STRSV	340	1.1.1.86	PF01450;PF07991;	Bacteria
Q1IRZ2	KATG_KORVE	752	1.11.1.21	PF00141;	Bacteria
P0C872	JMJD7_MOUSE	316	1.14.11.63; 3.4.-.-	PF13621;	Eukaryota
Q9KD37	ISPH_BACHD	314	1.17.7.4	PF02401;	Bacteria
B2S7K6	ISPG_BRUA1	420	1.17.7.3	PF04551;	Bacteria
Q6FPL6	JHD1_CANGA	403	1.14.11.27		Eukaryota
Q5ZSX7	KATG1_LEGPH	721	1.11.1.21	PF00141;	Bacteria
Q6W102	KATG_SINFN	718	1.11.1.21	PF00141;	Bacteria
C3LMN9	KATG_VIBCM	724	1.11.1.21	PF00141;	Bacteria
Q53932	IPNS_STRCT	321	1.21.3.1	PF03171;	Bacteria
B5FI28	KEFF_SALDC	176	1.6.5.2	PF02525;	Bacteria
C0Q0D4	KEFG_SALPC	183	1.6.5.2	PF02525;	Bacteria
Q701P2	KO1_GIBIN	525	1.14.14.86	PF00067;	Eukaryota
B3EWG2	LACC_LEPMG	10	1.10.3.2		Eukaryota
O88867	KMO_RAT	478	1.14.13.9	PF01494;	Eukaryota
Q70KY3	LAC1_MELAO	623	1.10.3.2	PF00394;PF07731;PF07732;	Eukaryota
Q56YT0	LAC3_ARATH	570	1.10.3.2	PF00394;PF07731;PF07732;	Eukaryota
A4FW36	LADH_METM5	465	1.2.1.22	PF00171;	Archaea
P0DKK6	LAC13_ORYSJ	574	1.10.3.2	PF00394;PF07731;PF07732;	Eukaryota
P63940	LDHD_STAAM	330	1.1.1.28	PF00389;PF02826;	Bacteria
P99116	LDHD_STAAN	330	1.1.1.28	PF00389;PF02826;	Bacteria
B9DS53	LDH_STRU0	327	1.1.1.27	PF02866;PF00056;	Bacteria
P0A3N0	LDH_STRR6	328	1.1.1.27	PF02866;PF00056;	Bacteria
C1CKW1	LDH_STRZP	328	1.1.1.27	PF02866;PF00056;	Bacteria
Q3SNU3	LEU3_NITWN	370	1.1.1.85	PF00180;	Bacteria
Q31HI0	LEU3_HYDCU	357	1.1.1.85	PF00180;	Bacteria
Q92A27	LEU3_LISIN	350	1.1.1.85	PF00180;	Bacteria
Q2JTN8	LEU3_SYNJA	381	1.1.1.85	PF00180;	Bacteria
O13278	LDHA_SPHLU	332	1.1.1.27	PF02866;PF00056;	Eukaryota
Q7U840	LEU3_SYNPX	357	1.1.1.85	PF00180;	Bacteria
Q88LE5	LEU3_PSEPK	360	1.1.1.85	PF00180;	Bacteria
P00337	LDHB_CHICK	333	1.1.1.27	PF02866;PF00056;	Eukaryota
Q2G218	LDH1_STAA8	317	1.1.1.27	PF02866;PF00056;	Bacteria
O66607	LEU3_AQUAE	364	1.1.1.85	PF00180;	Bacteria
Q7NUC2	LEU3_CHRVO	354	1.1.1.85	PF00180;	Bacteria
G2IN77	LIGXC_SPHSK	105	1.14.13.-	PF00111;	Bacteria
Q6PY58	LEU3_CANHU	363	1.1.1.85	PF00180;	Eukaryota
Q839C1	LDH1_ENTFA	327	1.1.1.27	PF02866;PF00056;	Bacteria
