P0CW05	AAM30191.1
A5UE61	ABQ99062.1
B7N9V3	CAR12004.1
Q8RER7	AAL95224.1
Q8UII1	AAK86130.1
Q3BP20	CAJ25493.1
C1AZL1	BAH54282.1
A4TSJ5	ABP42257.1
Q83B06	AAO91211.2
B3H0J1	ACE61003.1
A8MDA4	ABW01760.1
Q47II9	AAZ45342.1
Q9HPJ7	AAG19870.1
A8FZK6	ABV38279.1
A8LFB7	ABW11220.1
Q6HC15	AAT59493.1
Q8D3J1	BAC24156.1
Q113E3	ABG51381.1
Q1GFB5	ABF64651.1
Q7VYK0	CAE41621.1
Q31VJ3	ABB67915.1
Q1QCL7	ABE74586.1
A1VC54	ABM28020.1
Q9KNH7	AAF95901.1
Q5HGC3	AAW36580.1
A4IZK0	ABO47350.1
P9WN38	AAK46563.1
B1I1Y5	ACA58917.1
Q81ZU6	CAD85940.1
Q56213	AAA86988.1
Q56213	BAD71719.1
Q73F50	AAS39093.1
B7N6P3	CAR14154.1
B9M5K3	ACM21762.1
Q9PH05	AAF82954.1
A1TUE2	ABM34580.1
Q46VZ5	AAZ62689.1
Q5V3L1	AAV45891.1
Q0I8Y2	ABI47007.1
Q5XBV6	AAT87107.1
Q5JH71	BAD84998.1
C3PL50	ACP32054.1
Q825Q8	BAC75110.1
Q0A4N0	ABI58207.1
Q66F64	CAH19716.1
A7ZXK4	ABV05008.1
Q1CDL3	ABG19917.1
Q1CDL3	EEO74482.1
A9MTV4	ABX69709.1
A4QHD8	BAF55654.1
Q9PBI4	AAF84959.1
A7H6L1	ABS24357.1
Q2S4A0	ABC44792.1
Q1BCY7	ABG07247.1
A1U0K1	ABM18520.1
B8F6A3	ACL32855.1
A5IGU3	ABQ56593.1
Q081Q4	ABI72011.1
B9DYJ3	BAH05318.1
Q47SE7	AAZ54620.1
A7HV12	ABS63745.1
P65705	BAB95953.1
B7KL75	ACK72447.1
Q8FK30	AAN79142.1
Q1WV55	ABD99130.1
Q1CV79	ABF84143.1
Q04JI8	ABJ54718.1
Q73F49	AAS39094.1
Q5JDU3	BAD85944.1
B3PXK6	ACE89212.1
Q21YF8	ABD69195.1
Q3JAC4	ABA58222.1
Q1LPE1	ABF07985.1
B2FR57	CAQ44559.1
Q2W7U1	BAE50084.1
Q9CMW8	AAK02769.1
A1KV99	CAM10800.1
Q9HT00	AAG18649.1
Q9HUF4	AAG08399.1
C4KZV1	ACQ70614.1
B7KWJ1	ACK86068.1
C1KYD1	CAS03986.1
Q70GH6	CAE46488.1
Q5LTR1	AAV94640.1
Q9HN20	AAG20401.1
Q605D9	AAU91502.1
Q4UTV2	AAY49521.1
B8GL43	ACL71561.1
P9WN27	CCP44999.1
A8F1F2	ABV84738.1
Q0K861	CAJ93810.1
C1KWN3	CAS05708.1
Q3K0Y1	ABA45773.1
Q05509	CAA49910.1
Q05509	CAA50026.1
Q05509	AAB24069.1
A8GC24	ABV40664.1
Q32J06	ABB60701.1
A3CLS0	ABN44125.1
B7ND41	CAR14691.1
A0QA85	ABK66473.1
B7GV90	ACJ56381.1
Q9JX72	CAM07361.1
Q9JX72	CAB72042.1
P54935	AAB93306.1
A1BA17	ABL72361.1
Q03KA9	ABJ66363.1
B7N2R7	CAR10736.2
Q1C0L5	ABG16007.1
Q5NHQ9	CAG45021.1
P0DD07	BAC63870.1
Q8XEG2	AAG58932.1
Q8XEG2	BAB38094.1
P75793	AAC73910.1
P75793	BAA35504.1
B5Z4S7	ACI35858.1
Q07K31	ABJ07703.1
Q3YXI9	AAZ89773.1
A1REU0	ABM23185.1
Q5PAE9	AAV86731.1
B9EBI8	BAH17599.1
A6VNK4	ABR74551.1
A1AU47	ABL00868.1
A7MIX7	ABU77835.1
Q14JU8	CAL08146.1
Q8CNZ1	AAO04941.1
Q4ZY80	AAY35892.1
Q3A9J4	ABB15736.1
A1S909	ABM00866.1
C0Q8F5	ACN48761.1
Q56872	AAC60773.1
Q56872	CAL13110.1
P63742	AAK76237.1
Q32A92	ABB63763.1
Q49VK4	BAE19206.1
P0DA16	AAM80075.1
Q5ZY71	AAU26598.1
P0A6W0	AAC74597.1
P0A6W0	BAA15206.1
A4IKL1	ABO65865.1
A9M479	ABX74173.1
Q71XG0	AAT05005.1
A7ZY11	ABV05165.1
Q8XUY1	CAD16761.1
C5BM95	ACR12644.1
Q67Q63	BAD40180.1
A8ALE6	ABV14309.1
Q87M72	BAC60649.1
B7KIT8	ACK70774.1
Q92AX5	CAC97024.1
Q02FU9	ABJ14106.1
B3QVL0	ACF14610.1
A0AKV8	CAK21640.1
C4K389	ACQ67032.1
Q8FKZ1	AAN78733.1
Q6LML1	CAG21466.1
C1AKG7	BAH24796.1
A7GH26	ABS41288.1
Q2NUK6	BAE74169.1
P9WGB8	AAK45682.1
Q8CN61	AAO05636.1
P9WGB9	CCP44132.1
Q4L8T0	BAE03945.1
A7GX48	EAT99552.1
A0JC77	BAF36651.1
A4FG18	CAM02993.1
Q3BXI8	CAJ22425.1
Q8D253	BAC24647.1
A8GLB8	ABV43908.1
Q81LR5	AAP28255.1
Q81LR5	AAT33667.1
Q81LR5	AAT56519.1
Q6HDK0	AAT63794.1
B8E3F7	ACK44594.1
Q824C8	AAP04975.1
Q83PV6	AAN44906.2
Q83PV6	AAP19275.1
Q667X1	CAH22107.1
Q8DH33	BAC09679.1
Q5GW07	AAW77114.1
B1XB26	ACB03703.1
Q9PJW0	AAF39528.1
A6TKR6	ABR46784.1
Q0AUC3	ABI69681.1
Q97XW1	AAK41808.1
B5R7J1	CAR39688.1
Q2A498	CAJ79142.1
Q5ZZU2	AAV27635.1
P64191	BAB42567.1
Q2JSV1	ABD00263.1
Q16D84	ABG30059.1
Q74LC1	AAS08246.1
Q5QXT4	AAV82704.1
A8G1U9	ABV39072.1
C0MFI2	CAX00599.1
B8ZPL4	CAR69855.1
Q0BC36	ABI88287.1
Q48NS2	AAZ36472.1
Q63EX2	AAU19307.1
B1LLV2	ACB17786.1
Q83ME2	AAN41799.1
Q83ME2	AAP15680.1
B1ZJN1	ACB81517.1
Q97JG4	AAK79290.1
Q87LV6	BAC60765.1
Q2YD58	ABB73313.1
O33512	AAB82051.1
Q7U8M8	CAE07103.1
C3PLL9	ACP53859.1
C0QV47	ACN84348.1
Q9KNT0	AAF95792.1
Q983B6	BAB54290.1
Q8FWK8	AAN33637.1
Q8FWK8	AEM19916.1
C1KYV6	CAS06263.1
Q9HTE9	AAG08800.1
Q4A8E1	AAZ53598.1
Q8ZNG4	AAL21186.1
Q2Y9Z7	ABB74424.1
A1UZX9	ABM52363.1
B8F6W7	ACL33069.1
Q660S1	AAU07450.1
Q7V4U3	CAE22022.1
Q5M4W1	AAV60446.1
Q6KHG2	AAT27968.1
Q44088	BAA75411.1
Q44088	BAA11159.1
Q44088	BAA11144.1
P50074	CAA78951.1
Q65QH0	AAU38790.1
A5UE48	ABQ99049.1
Q5WGU2	BAD64413.1
B5Z842	ACI27741.1
B7J439	ACK78912.1
Q1QQP7	ABE61450.1
Q821M8	AAP05651.1
B5XLI1	ACI61193.1
B7GU03	ACJ51444.1
B7GU03	BAJ67919.1
B4RB35	ACG78086.1
B5XLN9	ACI61251.1
A5VVV5	ABQ62257.1
P57126	BAB12738.1
B4TRY8	ACF89723.1
B7N691	CAR14000.1
A1RHD0	ABM24075.1
B3W952	CAQ67221.1
A8FIC1	ABV63988.1
A9MAE5	ABX61848.1
A6UT22	ABR55644.1
Q3Z5Q5	AAZ86907.1
Q3AQF4	ABB28771.1
B0UU02	ACA31008.1
C5B9H0	ACR67971.1
Q89B37	AAO26754.1
A5EWV4	ABQ13699.1
B7NUX6	CAR17678.1
A4TMS8	ABP40590.1
Q987R3	BAB53137.1
Q8D632	AAO07647.1
Q83GZ6	AAO44176.1
Q93FD0	AAL14786.1
Q93FD0	CAI97442.1
Q6HAI0	AAT62666.1
B7LWQ6	CAQ87708.1
P47846	CAA55562.1
P47846	AAO91455.1
Q7NTY1	AAQ60590.1
Q92SQ3	CAC41751.1
Q2NEH4	ABC57779.1
Q3J210	ABA79174.1
A1JJK8	CAL10795.1
C1A3W7	BAH38792.1
P28621	AAA23231.1
P28621	ADL50906.1
P29019	AAA22409.1
Q9RVG1	AAF10638.1
Q9HMV6	AAG20465.1
Q8RSY9	AAL71844.1
Q8RSY9	CAY46580.1
O66621	AAC06580.1
Q5V1K0	AAV46602.1
P07103	CAA68604.1
P07103	ADM99099.1
Q5HVM4	AAW35841.1
A9KSC2	ABX42154.1
Q9HSH4	AAG18832.1
B1YSD6	ACB62938.1
B7LU53	CAQ91161.1
Q04X52	ABJ80354.1
A5I720	ABS36422.1
A5I720	CAL84853.1
B4SUG3	ACF61321.1
A4JPG9	ABO58172.1
P43089	AAA62279.1
P43089	ABL69919.1
C4LAK4	ACQ92208.1
P67068	AAK33308.1
P67068	AAZ50811.1
A0KT87	ABK47006.1
Q3B2Z6	ABB24285.1
B6J7Z4	ACJ20393.1
B2UXC4	ACD52633.1
Q2P6E4	BAE67883.1
Q3A7W5	ABA87527.1
Q72ZK2	AAS43567.1
B2SKS0	ACD60578.1
C0ZUX9	BAH32374.1
Q9CM00	AAK03132.1
Q0VSP6	CAL15802.1
Q2NZW3	BAE70164.1
Q4ZNA0	AAY39372.1
A6QG37	BAF67319.1
B5FAL8	ACH67133.1
Q0HYK9	ABI41796.1
Q1AUK2	ABG04926.1
Q0HSK7	ABI43898.1
A5IN10	ABQ47583.1
Q0AAH7	ABI56160.1
Q1I4H5	CAK17461.1
B2UX41	ACD52556.1
P0C0Q2	AAO05142.1
A7X393	BAF78542.1
B2U2Z9	ACD10446.1
A6WKS2	ABS07411.1
Q5HT90	AAW35950.1
B2V5U0	ACD67034.1
A4XK09	ABP67244.1
B4RBJ4	ACG76454.1
P0ABR6	AAG57651.1
P0ABR6	BAB36827.1
Q6LYD8	CAF30609.1
Q7URL1	CAD74327.1
B6J3H2	ACJ17698.1
B7N6C9	CAR14038.1
C1DUY4	ACN98435.1
Q7A4T5	BAB42950.1
Q1B7G8	ABG09166.1
Q66C53	CAH20796.1
A7H3N1	ABS44820.1
B8J215	ACL48010.1
P45480	AAA85527.1
P45480	BAB75558.1
P45480	CAA83242.1
Q2RNA7	ABC24388.1
B3E9X0	ACD96845.1
Q30WH2	ABB39974.1
Q3A526	ABA88531.1
A1SL57	ABL82542.1
Q7U851	CAE07288.1
Q65RB8	AAU38492.1
Q0BWU4	ABI75870.1
Q3KJC9	ABA72127.1
Q8ZQM4	AAL19784.1
Q970Z2	BAB66531.1
A8ETG3	ABV67237.1
Q2J341	ABD05119.1
C0RJ48	ACO00856.1
A5EXX1	ABQ14353.1
Q7W3U1	CAE39219.1
Q02IV5	ABJ10303.1
Q0BIW8	ABI85905.1
A4SV17	ABP33331.1
Q3KJQ5	ABA72001.1
Q5MZ63	BAD80657.1
Q88UE1	CCC79712.1
Q7P1Z5	AAQ57746.2
Q57JQ9	AAX67053.1
B8E999	ACK46432.1
B7V3F9	CAW30210.1
Q97MU2	AAK78084.1
Q5FA24	AAW88963.1
A5I242	ABS37058.1
A5I242	CAL83107.1
Q9KUG5	AAF93724.1
Q1GF01	ABF64765.1
Q4ZLQ1	AAY39921.1
Q0K694	CAJ94477.1
Q9X0C6	AAD36113.1
Q3ST00	ABA04591.1
A4VR47	ABP81448.1
A4QFG5	BAF54981.1
B1JUA4	ACA89589.1
B2UL23	ACD05296.1
A3QF19	ABO24067.1
B0T5D0	ABZ69488.1
Q97KH7	AAK78918.1
Q494D7	AAZ41097.1
Q66C51	CAH20798.1
B8ZRB5	CAR71359.1
A0KTG8	ABK47087.1
A8GC75	ABV40715.1
A7GMU9	ABS21457.1
B7NQG5	CAR17130.1
Q2J8L0	ABD12382.1
B4E640	CAR50627.1
Q93CE8	AAL05046.1
Q47GJ3	AAZ46038.1
Q740Y1	AAS03528.1
Q03VY0	ABJ62642.1
Q50504	AAA87415.1
Q50504	AAB85942.1
Q9HN23	AAG20398.1
Q0W7V3	CAJ35540.1
O68602	AAC05575.1
O68602	BAB99489.1
O68602	CAF20432.1
Q3AD49	ABB14951.1
Q325C1	ABB65087.1
A0QX29	ABK73533.1
A0QX29	AFP39535.1
B9M0L7	ACM19054.1
Q5P795	CAI06816.1
A1W1K1	EAQ72599.1
Q9KSX4	AAF94291.1
B2I0P3	ACC58749.1
B6I3J9	BAG79426.1
Q59735	AAA88884.1
Q7VD58	AAP99570.1
Q1C276	ABG15446.1
Q8YQR8	BAB75450.1
Q51061	AAA79173.1
Q2IRD5	ABD09225.1
B3WED4	CAQ66735.1
Q6G8A3	CAG43558.1
Q18C71	CAJ68417.1
A8A1P3	ABV06447.1
B2ICL0	ACB93899.1
Q58109	AAB98691.1
A5I246	ABS37417.1
A5I246	CAL83111.1
P44435	AAC22132.1
B9LFN2	ACM53383.1
A5I248	CAL83113.1
C5BV99	ACQ80486.1
A6VDQ9	ABR80727.1
A9KNX3	ABX43143.1
Q2SMB3	ABC28211.1
A1ASJ7	ABL00318.1
Q65EF9	AAU42555.1
Q65EF9	AAU25184.1
Q0W0J2	CAJ38101.1
Q57MS4	AAX65987.1
Q9ZJD5	AAD06948.1
Q01ZU0	ABJ84825.1
Q73FY6	AAS14832.1
A0LCF5	ABK45648.1
P62364	AAS94598.1
P37171	CAA43293.1
P37171	ADE85535.1
Q0AGS2	ABI59460.1
B0UHR5	ACA21035.1
B4TMR4	ACF92583.1
B6I423	BAG78856.1
Q7VSZ1	CAE44024.1
P64348	BAB58841.1
A0QHI1	ABK68288.1
P60806	CAE26592.1
C3PHA6	ACP33210.1
P59400	AAN66591.1
Q1Q835	ABE76168.1
P60535	CAE49786.1
A6VI38	ABR66114.1
B4SWY3	ACF65461.1
A4Z0T3	CAL79759.1
Q5M6K8	AAV59741.1
Q0SHX9	ABG92857.1
Q0BIX1	ABI85902.1
Q9JTH8	CAM08898.1
A5G6I5	ABQ27403.1
O27624	AAB86060.1
B1IWM6	ACA76909.1
Q47XB7	AAZ26928.1
P60999	CAE50090.1
Q6AE76	AAT89320.1
Q89UL9	BAC46662.1
Q31PF9	ABB57060.1
B7I4A8	ACJ39883.1
Q7NL03	BAC89264.1
P0A1E1	AAA19690.1
P0A1E1	AAL22843.1
Q7MZD9	CAE16725.1
Q11DR9	ABG64456.1
A7NC51	ABU61554.1
Q970Y9	BAB66534.1
B7M400	CAQ98939.1
Q82WS2	CAD84501.1
Q6FEC8	CAG67580.1
B1X6V8	ACB03194.1
A3M1P7	ABO10841.2
B4ECX5	CAR53507.1
B6J386	ACJ19211.1
A4IZY4	ABO47485.1
Q3BXV3	CAJ22310.1
Q1RF60	ABE06004.1
A0KL51	ABK38925.1
P73660	BAA17705.1
C5BD17	ACR68335.1
B1MY16	ACA82418.1
P28630	AAA23675.1
P28630	AAB59047.1
P28630	AAB40841.1
P28630	AAC73741.1
P28630	BAA35287.1
Q9I3J5	AAG04907.1
B2SMV3	ACD57515.1
B4SCH3	ACF44178.1
A1KT72	CAM10054.1
Q65SV7	AAU37953.1
Q9YAS4	BAA80874.1
A3D5B0	ABN61923.1
Q31PM2	ABB56997.1
B2UU75	ACD48407.1
Q3BMT4	CAJ25929.1
Q5HQW8	AAW53842.1
Q145W4	ABE28875.1
P0DD30	AAM78849.1
P46355	CAL22436.1
P46355	AAM83970.1
P46355	AAS63365.1
P46355	AAC44323.1
Q8P709	AAM42077.1
A1JTW3	CAL12805.1
B3GYW3	ACE62449.1
Q87F90	AAO27945.1
D4GVR1	ADE03427.1
B7HDV3	ACK61758.1
Q97Q18	AAK75511.1
B0KB34	ABY95222.1
Q9RQB4	AAF12735.1
Q5HVB1	AAW34556.1
Q52371	AAA81942.1
O59390	BAA30841.1
A4G989	CAL63076.1
C4K5T1	ACQ67924.1
A3NQ63	ABN89094.2
B0R6J9	CAP14368.1
Q9I0H4	AAG06052.1
D5VT38	ADG13741.1
Q5ZXU1	AAU26729.1
B2AGB6	CAP62815.1
A3NQ26	ABN89886.1
Q50840	CAA64123.1
Q65KL0	AAU23049.1
Q65KL0	AAU40404.1
Q2YS94	CAI80208.1
B5Z6N8	ACI27237.1
Q01262	AAA25845.1
Q01262	BAA01377.1
B0VT08	CAP00195.1
Q4KJK2	AAY95846.1
O67798	AAC07747.1
A8FCF7	ABV61924.1
P55350	AAB91601.1
Q0KFM5	CAJ91196.1
Q8ZQR1	AAL19726.1
Q8K9M1	AAM67867.1
A7ZCL2	EAT98022.1
Q39BU7	ABB10069.1
Q48907	BAA19967.1
A1AIA7	ABJ03397.1
B9DPG5	CAL27797.1
Q5WDH1	BAD65589.1
Q93AR8	AAL18699.1
P29252	BAA05314.1
P29252	CAB11855.1
Q1JEK0	ABF34909.1
A1V794	ABM50663.1
B2T625	ACD17389.1
Q02PY1	ABJ12400.1
Q5WYJ0	CAH14980.1
A9IVW5	CAK01817.1
P0DB11	BAC64057.1
Q3SFW2	AAZ98494.1
Q0SY57	ABF06008.1
Q4L8L7	BAE04008.1
A1K6L9	CAL94474.1
B9E7E0	BAH18108.1
B8H2S1	ACL94475.1
Q8XLN7	BAB80710.1
B4EFI7	CAR55979.1
A6WX52	ABS13556.1
P37182	AAA21592.1
P37182	AAA69160.1
P37182	AAC76029.1
P37182	BAE77054.1
A5EQB7	ABQ38361.1
Q8TYD5	AAM01580.1
Q0RXC3	ABH00063.1
Q09102	AAA22079.1
B4TC45	ACF68853.1
B5F1Y9	ACH50163.1
Q5NQY4	AAV88870.1
Q1R597	ABE09467.1
A1WLL2	ABM58519.1
Q47B13	AAZ47968.1
Q7MH57	BAC95779.1
Q2NSR0	BAE74815.1
B0TTS9	ABZ76647.1
O85977	AAD03993.1
Q87QN1	BAC59381.1
Q9Z4H7	CAA06668.1
Q2P2A1	BAE69326.1
Q9XBQ3	AAD45520.2
Q8X5J8	AAG54703.1
Q8X5J8	BAB33830.1
Q579F0	AAX75734.1
Q6LK43	CAG22337.1
A1WUW3	ABM61475.1
Q65IX1	AAU23628.1
Q65IX1	AAU40993.1
Q8RDK4	AAM23332.1
A0KRC6	ABK46345.1
Q8Y9Y1	CAC98465.1
Q2NI95	ABC56441.1
Q58938	AAB99561.1
P65169	BAB56552.1
Q5WKZ0	BAD62965.1
B2TIR4	ACD23051.1
B5Y2S5	ACI11005.1
B1YNW1	ACB63835.1
Q898E8	AAO35133.1
Q7NH80	BAC90598.1
C3MH72	ACP26358.1
B2TU17	ACD06613.1
B2TIR2	ACD23733.1
Q978W8	BAB60439.1
Q21HN0	ABD81799.1
B3QMA2	ACF11055.1
Q2YYY9	CAI81914.1
A0RBV4	ABK84697.1
B2ILS5	ACB89631.1
B1LLU6	ACB18610.1
C5BBA5	ACR67340.1
B9DMJ5	CAL28467.1
Q9X1B3	AAD36464.1
A4XBM5	ABP56332.1
Q0AGY8	ABI59394.1
Q03IH2	ABJ67000.1
Q8G0D9	AAN30078.1
Q8G0D9	AEM18496.1
Q3AWK9	ABB26699.1
A6Q322	BAF69881.1
A7H6J9	ABS24345.1
B2JDV1	ACC69727.1
Q6D1B3	CAG76433.1
B9IZC8	ACM10572.1
A0B2Q6	ABK11932.1
B4RU55	AEA98784.1
Q3AFM4	ABB15913.1
A1JNB1	CAL13124.1
B5RLX5	ACH93361.1
C3N6Z8	ACP45992.1
Q5SLX2	BAD69994.1
C3LTN4	ACP05260.1
A8FNR8	ABV53105.1
Q51698	CAA88754.1
O05265	CAB07947.1
O05265	CAB15095.1
B6YQC6	BAG83398.1
Q9CPD3	AAK02198.1
Q1ICZ9	CAK14464.1
Q92F68	CAC95471.1
Q9RS38	AAF11836.1
B3Q6L6	ACF01725.1
Q1WUB5	ABD99420.1
Q1R4U3	ABE09621.1
Q4FS44	AAZ19164.1
C0Q4E3	ACN44198.1
A6Q3P4	BAF70103.1
Q034I2	ABJ71390.1
A1TD73	ABM15123.1
Q5YTM7	BAD58464.1
A9MPA5	ABX21086.1
Q4A8L2	AAZ53527.1
Q81VZ0	AAP24104.1
Q81VZ0	AAT29127.1
Q81VZ0	AAT52387.1
O33924	AAB64352.1
Q0AQC4	ABI65513.1
P0ABN3	AAG59241.1
P0ABN3	BAB38448.1
Q92Q99	CAC46021.1
A3QE24	ABO23722.1
Q8ZEY2	CAL20650.1
Q8ZEY2	AAM85854.1
Q8ZEY2	AAS62081.1
Q68WZ5	AAU03847.1
Q888C6	AAO54633.1
A1JRS8	CAL12474.1
Q7MMZ1	BAC93690.1
A8A858	ABV08712.1
Q11AX2	ABG65453.1
Q2NRS7	BAE75148.1
Q55848	BAA10604.1
Q2G1U0	ABD30283.1
P0ABN4	AAN45585.1
P0ABN4	AAP18614.1
Q8EJU6	AAN53446.1
P0A6I2	AAG55395.1
P0A6I2	BAB34416.1
Q8FJV4	AAN79255.1
Q829P9	BAC74071.1
A1KJC9	CAL71738.1
Q2YMI4	CAJ10458.1
B7NM64	CAR18364.1
B2GC33	BAG27215.1
B5E9T0	ACH40254.1
B7L4M8	CAV00072.1
A7MEV1	ABU77672.1
A6VQ31	ABR75078.1
Q8XRK5	CAD17977.1
B7NMB9	CAR19947.1
Q68WL3	AAU03979.1
A5VMY8	ABQ60463.1
P9WG37	CCP43601.1
Q8XLF7	BAB80790.1
Q9X4E0	AAD29262.1
Q9X4E0	ABA81194.1
B1Z3N9	ACB68352.1
Q0TCA9	ABG71420.1
Q6LVM6	CAG18649.1
Q8CRJ4	AAO05426.1
B8CMH3	ACJ29230.1
B5E4T1	ACF55132.1
A4VLZ2	ABP79993.1
Q8PK76	AAM37152.1
B2IPT6	ACB90358.1
A5IUY1	ABQ50004.1
Q2YYJ5	CAI81763.1
A8GCH2	ABV40812.1
Q2P3S3	BAE68804.1
B2SLH6	ACD59038.1
C0MDX5	CAX00209.1
Q6D1B4	CAG76432.1
B5R8J7	CAR36812.1
Q8Y4A7	CAD00622.1
O66496	AAC06457.1
A5U1U6	ABQ72996.1
Q1J9U7	ABF36714.1
Q8E4S2	CAD46988.1
Q6LX65	CAF31043.1
B7H226	ACJ58772.1
Q975K7	BAB65393.1
Q89AI8	AAO27022.1
B9DU93	CAR41797.1
Q8ZGB3	CAL20043.1
Q8ZGB3	AAM86334.1
Q8ZGB3	AAS61445.1
A9AGW1	ABX14852.1
A9AGW1	BAG43999.1
Q5LZL6	AAV62683.1
C1CRA6	ACO23011.1
A9KDH6	ABS76718.2
Q8E347	CAD47574.1
Q8ZD97	CAL21310.1
Q8ZD97	AAM84838.1
Q8ZD97	AAS62693.1
Q31ZS8	ABB66430.1
Q2NIZ4	ABC65599.1
Q5PCJ7	AAV77938.1
B0B8N1	AAB17556.1
B0B8N1	CAP03468.1
B4TFH5	ACF69179.1
Q6G8M9	CAG43427.1
A8FKH1	ABV51958.1
A4XWS2	ABP85788.1
A5EW23	ABQ14162.1
P00552	AAA73390.1
P00552	CAA23892.1
P00552	AAA85506.1
P00552	CAA25852.1
P00552	AAC48873.1
B2JIX1	ACC70622.1
Q55863	BAA10621.1
A5G696	ABQ27314.1
Q5HNK7	AAW54633.1
Q8EU99	BAC44817.1
Q03ZG6	ABJ61406.1
Q6LNB8	CAG21208.1
Q55593	BAA10099.1
Q8KU73	AAM75291.1
Q8KU73	AAO80405.1
B7LX32	CAQ97997.1
Q6GEN4	CAG41264.1
O51759	AAC67164.1
B7GHN1	ACJ33453.1
Q72XC1	AAS44357.1
Q47DZ5	AAZ46936.1
Q83NI1	CAD67161.1
B2TYR3	ACD07307.1
P62054	CAE77158.1
C1AGA2	BAH27281.1
Q8EUG3	BAC44750.1
A4Y045	ABP86961.1
C0R5S3	ACN95115.1
Q9EVE0	AAG31929.1
B3GZ69	ACE62555.1
A9VPX5	ABY44551.1
Q8PMV3	AAM36193.1
P60961	BAB56923.1
A5VQR8	ABQ60182.1
A0AZ60	ABK10686.1
Q0ICF2	ABI45640.1
Q3JCC5	ABA57521.1
A1K4A1	CAL93656.1
B1IC17	ACA37368.1
C5D5V2	ACS23400.1
Q8RDE6	AAM23398.1
A9N7Y5	ABX67947.1
Q9KRA7	AAF94885.1
Q9KRA7	AAB87633.1
A4TKY0	ABP39942.1
P0A7C2	AAA24067.1
P0A7C2	AAC43137.1
P0A7C2	AAC77013.1
P0A7C2	BAE78045.1
P0A7C2	AAA24068.1
A5F5E3	ABQ21870.1
A5F5E3	ACP10594.1
B5YGC5	ACI21628.1
Q601T1	AAV27724.1
Q0AWL9	ABI68885.1
Q2VZV4	BAE52871.1
Q2FIN2	ABD21762.1
Q2GH92	ABD44805.1
Q72JB2	AAS81210.1
B9E9F9	BAH16870.1
Q04596	CAA44871.1
A4XHV1	ABP66486.1
Q46ZR1	AAZ61372.1
Q5WEN6	BAD65174.1
Q1IU64	ABF39586.1
B9J4R6	ACM15383.1
B8I2Q1	ACL76044.1
B0KF81	ABY97421.1
B2UE01	ACD25341.1
A5ID24	ABQ55274.1
A4W6H6	ABP59306.1
A8GUH3	ABV78469.1
Q5ZUD2	AAU27945.1
Q2J3A1	ABD05059.1
B4T1T2	ACF65576.1
A7X0C7	BAF77802.1
C1AQW9	BAH26698.1
B8D7W9	ACL30234.1
Q88YK2	CCC78221.1
Q83NN8	CAD66975.1
Q9K8F1	BAB06774.1
Q820H8	CAD86239.1
Q5YZZ7	BAD56244.1
Q0BK19	ABI83565.1
Q1MH26	CAK07741.1
Q8FL79	AAN78583.1
Q2FYU1	ABD30431.1
P62052	AAS08257.1
C5B7R4	ACR67941.1
Q8X9Z8	AAG54378.1
Q8X9Z8	BAB33501.1
Q9JZF9	AAF41467.1
A6VSA9	ABR69338.1
A5IRA1	ABQ48724.1
Q2JL30	ABD02592.1
Q83SP1	AAN41733.1
Q83SP1	AAP15614.1
A7FXL9	ABS33756.1
B1XDN4	ACB03938.1
Q0AGN5	ABI59497.1
A7WXP7	BAF77123.1
B2VDA7	CAO95788.1
A7MIC5	ABU78486.1
Q02NA9	ABJ11840.1
B2JKL7	ACC70844.1
Q632G8	AAU15649.1
C4ZQ11	ACR63640.1
A4Y4K2	ABP74885.1
B2T3H9	ACD16140.1
Q475B0	AAZ60023.1
Q1C507	ABG14465.1
Q9ZHZ8	AAV27401.1
Q9ZHZ8	AAC98966.1
Q5HBH4	CAH58076.1
Q5HBH4	CAI26857.1
B4U6M2	ACG56790.1
B1J2Z7	ACA71003.1
Q3J8D2	ABA58914.1
P65289	BAB43769.1
B1H0A7	BAG13939.1
A1UIU2	ABL92750.1
O31046	AAB82586.1
O31046	CAD55194.1
B7L771	CAV00658.1
P62047	AAS40931.1
A1WF48	ABM56255.1
Q8XD89	AAG58791.1
Q8XD89	BAB37945.1
D3HCJ2	CBI13250.1
B5FRC7	ACH78076.1
B8DBU4	ACK38930.1
B2JYM4	ACC87038.1
B7N6F7	CAR14066.1
Q8YQ68	BAB75666.1
B1WWD8	ACB54066.1
Q1CCZ4	ABG20136.1
Q1CCZ4	EEO74722.1
Q2A5X6	CAJ78512.1
A0A1L5BU05	AAN64237.1
A0A1L5BU05	APL96346.1
A0A1L5BU05	APL96546.1
Q5HCM7	AAW37342.1
P41025	CAA83921.1
Q87BQ1	AAO29244.1
B0VCT7	CAM85883.1
P30015	AAC37009.1
P30015	AAC74725.1
P30015	BAA15419.1
Q2FDQ7	ABD22153.1
Q0W150	CAJ37893.1
B7J9J8	ACK80260.1
Q88T65	CCC80162.1
Q87RR0	BAC58980.1
B9IY86	ACM14532.1
A4Y9G1	ABP76594.1
G2NFJ9	AEN12197.1
Q62HL3	AAU50244.1
Q02L18	ABJ11061.1
Q2YPV8	CAJ11103.1
P72640	BAA16642.1
B5YYB9	ACI38520.1
Q7U7A6	CAE07594.1
Q8UIQ2	AAK86057.1
A5GTI3	CAK28192.1
Q8E4G5	CAD47095.1
Q4QLM5	AAX88072.1
Q2NVY5	BAE73690.1
B5Y8Q8	ACI16990.1
