scientific_name,temp,dif,taxid
Chaetoceros didymus,15.0,0.0,49238
Larkinella ripae,22.0,0.0,1892557
Cryphonectria parasitica,22.0,0.0,5116
Psychromonas macrocephali,12.0,0.0,444920
Sulfurospirillum deleyianum,28.5,0.0,65553
Pseudidiomarina donghaiensis,30.0,0.0,
Bifidobacterium pseudolongum pseudolongum,37.0,0.0,
Pyrococcus abyssi GE5,100.0,0.0,272844
Cyberlindnera jadinii,25.0,0.0,4903
Dictyosporium elegans,24.0,0.0,328845
Photobacterium piscicola,20.0,0.0,1378299
Penicillium corylophilum,24.0,0.0,70792
Staphylococcus carnosus utilis,30.0,0.0,
Endobacter medicaginis,29.0,0.0,1181271
Dasya sessillis,10.0,0.0,
Chryseobacterium polytrichastri,28.0,0.0,1302687
Microbacterium aurantiacum,29.33333333333333,0.0,162393
Actinomadura echinospora,37.0,0.0,1992
Ustilago onumae,20.0,0.0,
Salegentibacter flavus,29.0,0.0,287099
Schlesneria paludicola,25.0,0.0,360056
Novosphingobium taihuense,30.0,0.0,260085
Tetragenococcus muriaticus,30.0,0.0,64642
Nitrosopumilus piranensis,30.0,0.0,1582439
Paenibacillus salicis,30.0,0.0,
Acidocella aromatica,30.0,0.0,1303579
Nitratifractor salsuginis,37.0,0.0,269261
Adlercreutzia caecimuris,37.0,0.0,
Rhizobium sullae,28.0,0.0,50338
Mycobacterium fortuitum subsp. fortuitum,37.0,0.071428571,
Pluralibacter pyrinus,30.0,0.0,81476
Psychroflexus torquis,4.0,0.0,57029
Bacillus thuringiensis  kenyae,0.0,0.0,
Desulfatiglans anilini,35.0,0.0,90728
Penicillium digitatum,24.0,0.153846154,36651
Clostridium formicaceticum,37.0,0.0,1497
Shewanella dokdonensis,28.0,0.0,712036
Pigmentiphaga aceris,24.0,4.0,1940612
Psychrobacter piechaudii,18.0,0.0,1945521
Saccharopolyspora spinosporotrichia,28.0,0.0,59917
Streptomonospora sp.,37.0,0.0,1954492
Triceratium dubium,20.0,0.0,1003142
Bacillus urbisdiaboli,30.0,0.0,
Natranaerovirga hydrolytica,30.0,0.0,680378
Aureitalea marina,22.0,0.0,930804
Saccharothrix texasensis,28.0,0.0,103734
Sphingomonas koreensis,30.0,0.0,93064
Stenotrophomonas chelatiphaga,28.5,0.5,517011
Ureibacillus suwonensis,46.0,0.0,313007
Leuconostoc mesenteroides subsp. mesenteroides,30.0,0.0,33967
Calyptrosphaera sphaeroidea,20.0,0.0,35139
Corynebacterium sanguinis,37.0,0.0,2594913
Streptomyces malachitospinus,28.0,0.0,371722
Vibrio azureus,28.0,0.0,512649
Leptospira noguchii Louisiana,29.0,0.0,
Pseudomonas aeruginosa,30.0,1.9128444947011496,287
Bifidobacterium anseris,37.0,0.0,2020963
Anaerophaga thermohalophila,50.0,0.0,177400
Pelagibacterium lentulum,25.0,0.0,2029865
Rhodococcus maanshanensis,29.0,0.0,183556
Sphingobium francense,29.0,0.0,332057
Amycolatopsis ultiminotia,28.0,0.0,543629
Vexillifera westveldii,20.0,0.0,1678067
Rubrobacter radiotolerans,37.0,0.0,42256
Blastomonas fulva,22.0,0.0,1550728
Cystobacter badius,28.0,0.352941176235294,394091
Mucilaginibacter rubeus,24.0,0.0,2027860
Anaerobaculum mobile,55.0,0.0,
Agrobacterium sp.,27.5,1.7500000001666651,361
Lyngbya sp.,18.0,1.25,
Thiomicrorhabdus arctica,15.0,0.0,131540
Streptomyces thermodiastaticus,36.5,8.5,44061
Acremonium zonatum,45.0,0.0,1345092
Chaetomium cuniculorum,24.0,0.0,
Paulinella chromatophora,20.0,0.0,39717
Providencia heimbachae,33.5,0.0,333962
Arenibacter echinorum,28.0,0.0,440515
Marinomonas dokdonensis,30.0,0.0,328224
Bacteroides intestinalis,37.0,0.0,329854
Sinomonas flava,28.0,0.0,496857
Zimmermannella equis,37.0,0.0,
Arthrobacter bergerei,28.0,0.0,
Ruminiclostridium hungatei,30.0,0.0,48256
Shewanella sediminis,16.666666666666668,0.0,271097
Streptococcus criceti,37.0,0.0,1333
Terrabacter tumescens,27.5,0.0,60443
Bacillus manliponensis,30.0,0.0,574376
Staphylococcus xylosus,37.0,0.0,1288
Streptococcus himalayensis,22.0,0.0,1888195
Kaistia dalseonensis,28.0,0.0,410840
Geodermatophilus bullaregiensis,28.0,0.0,1564160
Streptomyces hirsutus,28.0,0.0,35620
Nocardia cummidelens,29.0,0.0,
Gryllotalpicola ginsengisoli,28.0,0.0,444608
Kaistia adipata,32.5,0.0,166954
Paenibacillus cisolokensis,48.0,0.0,1658519
Pseudonocardia hispaniensis,28.0,0.0,904933
Burkholderia caribensis,28.0,0.0,
Thermomyces lanuginosus,45.0,0.0,5541
Pleurochrysis sp. ,20.0,0.0,
Geodermatophilus poikilotrophus,30.0,0.0,1333667
Saccharopolyspora halotolerans,37.0,0.0,1285924
Actinoplanes rishiriensis,28.0,0.0,1050105
Exiguobacterium oxidotolerans,26.5,0.0,223958
Flavobacterium tegetincola,20.0,0.0,150172
Paenibacillus terrigena,27.5,0.0,369333
Actinomyces nasicola,37.0,0.0,208480
Closterium venus,20.0,0.0,157582
Chryseobacterium carnis,30.0,0.0,1241979
Flavobacterium phocarum,14.0,0.0,2065192
Hyalangium minutum,28.66666666666667,0.1904761905714287,394096
Cupriavidus basilensis,27.66666666666667,0.8263888890000001,68895
Rhodococcus fascians,29.33333333333333,1.2227272726666667,1828
Bartonella koehlerae,37.0,0.0,92181
Micromonospora trujilloniae,28.0,0.0,
Formosa spongicola,28.0,0.0,570520
Opitutus sp.,30.0,0.0,1913982
Roseomonas vinacea,28.0,0.0,424704
Castellaniella hirudinis,26.5,0.0,1144617
Cylindrospermum,22.0,0.0,56106
Halomonas stevensii,28.0,0.0,502821
Pseudoxanthomonas sacheonensis,28.0,0.0,443615
Sporomusa paucivorans,35.0,0.0,2376
Endozoicomonas acroporae,25.0,0.0,1701104
Deferribacter abyssi,55.0,0.0,213806
Lactobacillus bifermentans,30.0,0.7777777777777768,1607
Paracoccus acridae,28.0,0.0,1795310
Rathayibacter agropyri,28.0,0.0,1634927
Tenggerimyces flavus,22.0,0.0,1708749
Rhodococcus enclensis,28.0,0.0,1049584
Arthrobacter monumenti,29.0,0.0,163875
Rhizobium larrymoorei,30.0,0.0,
Coccolithus braarudii,15.0,0.0,221442
Erythrobacter odishensis,26.0,0.0,1155476
Acetitomaculum ruminis,37.0,0.0,2382
Leucothrix mucor,23.75,1.25,45248
Marinobacterium zhoushanense,38.0,0.0,1679163
Halobacillus naozhouensis,30.0,0.0,554880
Desertactinospora gelatinilytica,28.0,0.0,
Nocardia carnea,29.5,0.5,37328
Glaciimonas alpina,15.0,0.0,1463159
Penicillium brevicompactum,24.0,0.5,5074
Gongronella butleri,24.0,0.0,101105
Chungangia koreensis,30.0,0.0,752657
Gracilibacillus halotolerans,30.0,0.0,74386
Caldimicrobium rimae,70.0,0.0,444091
Cellulomonas cellasea,29.33333333333333,0.0,43670
Vibrio pacinii,29.0,0.0,170674
Streptomyces litoralis,29.0,0.0,1236314
Nocardia cerradoensis,29.0,0.0,85688
Algibacter aquimarinus,17.0,0.0,1136748
Chryseobacterium frigidum,20.0,0.0,1593234
Paenibacillus taohuashanense,30.0,0.0,1184688
Vibrio sagamiensis,25.0,0.0,512650
Sphingorhabdus arenilitoris,28.0,0.0,1490041
Lysobacter oligotrophicus,23.0,0.0,1137273
Allohumibacter endophyticus,26.0,0.0,1172610
Aquimarina sp.,28.0,0.0,1872586
Pleurotus dryinus,25.0,0.0,28993
Bacillus marmarensis,30.0,0.0,521377
Tetragenococcus halophilus,37.0,2.8,51669
Lutibacter litoralis,18.0,0.0,321268
Xanthomonas cynarae,29.0,0.3333333333333333,109214
Actinoallomurus iriomotensis,28.0,0.0,478107
Nesterenkonia massiliensis,30.0,0.0,1232429
Moraxella cuniculi,37.0,0.0,34061
Flavobacterium fryxellicola,20.0,0.0,249352
Helicobacter marmotae,37.0,0.0,152490
Comamonas badia,29.0,0.0,265291
Chlorogonium elongatum,20.0,0.0,52029
Amphibacillus cookii,37.0,0.0,767787
Melanosiphon intestinalis,10.0,0.0,572311
Pseudorhodobacter antarcticus,17.0,0.0,1077947
Coprococcus eutactus,37.0,0.0,33043
Dactylosporangium vinaceum,28.0,0.0,53362
Leptospira interrogans Pomona (64),29.0,0.0,
Anabaena sp.,18.0,2.0,1167
Navicula pelliculosa,20.0,0.0,
Thermoanaerobacterium butyriciformans,55.0,0.0,1702242
Larkinella arboricola,25.0,0.0,643671
Flavisolibacter ginsengisoli,27.5,0.0,462367
Arthrobotrys oligospora,24.0,0.0,13349
Corynebacterium macginleyi,37.0,0.0,38290
Echinicola vietnamensis,29.0,0.0,390884
Ornithinibacillus salinisoli,31.0,0.0,1848459
Advenella kashmirensis subsp. methylica,30.0,0.0,1439717
Agromyces salentinus,29.0,0.0,269421
Geobacillus subterraneus,48.5,6.5,129338
Ectothiorhodospira mobilis,25.0,1.8333333335,195064
Euzebyella marina,26.0,0.0,1761453
Haloparvum sedimenti,40.0,0.0,1678448
Streptococcus caviae,37.0,0.0,1930533
Micromonospora ovatispora,28.0,0.0,1182603
Hypomyces rosellus,22.0,1.0,5132
Chryseobacterium cucumeris,24.0,0.0,1813611
Paracoccus cavernae,20.0,0.0,1571207
Gallaecimonas pentaromativorans,30.0,0.0,584787
Ascoidea corymbosa,22.0,0.0,2081569
Deinococcus caeni,28.0,0.0,569127
Mucor piriformis,15.0,0.0,105697
Asulcocephalium miricentonis,20.0,0.0,1691399
Microbispora siamensis,28.0,0.0,564413
Pseudogracilibacillus auburnensis,30.0,0.0,1494959
Azotobacter nigricans,30.0,0.0,270344
Paraburkholderia sartisoli,29.0,1.0,83784
Gramella marina,20.0,0.0,409436
Legionella wadsworthii,37.0,0.0,28088
Nocardia cyriacigeorgica,31.83333333333333,2.8974358974358965,135487
Finegoldia magna,37.0,0.0,1260
Sphingomicrobium marinum,32.0,0.0,1227950
Alcaligenes faecalis subsp. parafaecalis,37.0,0.0,171260
Streptomyces spongiicola,30.0,0.0,1690221
Budvicia aquatica,24.0,0.0,82979
Enterococcus alcedinis,37.0,0.0,1274384
Cenangium ferruginosum,25.0,0.0,1792686
Fusarium lateritium var. maius,25.0,0.0,
Cochlodinium sp. ,15.0,0.0,
Lysobacter ginsengisoli,28.0,0.0,363847
Desmodesmus sp. ,20.0,0.0,
Bacillus jeotgali,30.0,0.0,129985
Saccharothrix ecbatanensis,30.0,0.0,1105145
Sutterella wadsworthensis,37.0,0.0,40545
Atopobium rimae,37.0,0.0,1383
Corynebacterium amycolatum,37.0,0.6947712420522877,43765
Streptomyces alcalophilus,28.0,0.0,
Actinoplanes friuliensis,28.0,0.0,196914
Zobellia russellii,23.0,0.0,248907
Phoma herbarum,20.0,0.0,73001
Pleodorina starrii,20.0,0.0,330485
Paenibacillus purispatii,30.0,0.0,556177
Pandoraea apista,37.0,0.0,93218
Rhodovulum sulfidophilum,25.0,0.0,35806
Bifidobacterium biavatii,37.0,0.0,762212
Roseomonas aceris,28.0,0.0,
Aspergillus terreus,32.5,4.166666667,33178
Acetanaerobacterium elongatum,31.0,0.0,258515
Alkalibacillus almallahensis,30.0,0.0,1379154
Polynucleobacter asymbioticus,28.0,0.0,576611
Aidingimonas sp.,37.0,0.0,1872420
Phoma sp.,15.0,0.0,1707701
Amphidinium sp. ,20.0,0.0,
Leucobacter chromiiresistens,32.5,0.0,1079994
Heliophilum fasciatum,37.0,0.0,35700
Campylobacter lari subsp. concheus,37.0,0.0,488545
Chitinimonas koreensis,29.0,0.0,356302
Comamonas koreensis,30.0,0.0,160825
Porphyrobacter dokdonensis,32.0,0.0,328225
Paenibacillus cookii,30.0,0.0,157839
Streptomyces alkaliphilus,28.0,0.0,1472722
Gluconobacter cerevisiae,28.0,0.0,1379734
Cylindrocarpon album,24.0,0.0,
Halolamina rubra,37.0,0.0,1380430
Cyclotella meneghiniana,17.5,2.5,29205
Jeotgalicoccus marinus,28.0,0.0,516700
Thermodesulfobacterium hveragerdense,65.0,0.0,53424
Acidovorax delafieldii,26.33333333333333,0.7142857142857132,47920
Marinobacter litoralis,30.0,0.0,187981
Reinekea blandensis,28.0,0.0,374838
Rhodanobacter sp.,28.0,0.0,1883446
Proteus columbae,28.0,0.0,1987580
Neisseria dumasiana,37.0,0.0,1931275
Haematomicrobium sanguinis,35.0,0.0,479106
Bacillus sphaericus  H23,0.0,0.0,
Pterygophora californica,10.0,0.0,169782
Chlorobium luteolum,25.0,0.0,
Pseudomonas psychrotolerans,30.16666666666667,1.5,237610
Lactobacillus secaliphilus,37.0,0.0,396268
Amycolatopsis vancoresmycina,28.0,0.0,208444
Belnapia soli,28.0,0.0,1055355
Hippea alviniae,65.0,0.0,1279027
Ferrimonas pelagia,28.0,0.0,1177826
Gordonia polyisoprenivorans,29.0,0.0,84595
Xenorhabdus pwaniensis,25.0,0.0,
Labedaea rhizosphaerae,28.0,0.0,598644
Nocardia harenae,28.0,0.0,358707
Treponema socranskii difficile,37.0,0.0,
Anoxybacillus kamchatkensis,55.0,0.0,196180
Glaucocystis geitleri,20.0,0.0,1789787
Arenimonas daejeonensis,30.0,0.0,370777
Halomonas nitroreducens,37.0,0.0,447425
Aeromonas sharmana,30.0,0.0,
Aerospaera taetra,37.0,0.0,
Marinobacter salicampi,26.0,0.0,435907
Gordonia phosphorivorans,28.66666666666667,0.22222222222222232,1056982
Ensifer medicae,30.0,0.0,
Rhodovulum imhoffii,30.0,0.0,365340
Terrimonas crocea,17.0,0.0,1867851
Dasya sinicola var. sinicola,15.0,0.0,
Nocardia coubleae,32.5,0.0,356147
Ornithinimicrobium tianjinense,30.0,0.0,1195761
Vagococcus penaei,25.0,0.0,633807
Gemmobacter fontiphilus,20.0,0.0,642250
Helicobacter mustelae,37.0,0.0,217
Bacillus ruris,30.0,0.0,217495
Cobetia litoralis,25.5,2.5,1055102
Methanosphaera stadtmanae,37.0,0.0,2317
Salinispora sp.,28.0,0.0,1979206
Alkalispirochaeta alkalica,37.0,0.0,46356
Syntrophobacter sulfatireducens,37.0,0.0,283702
Bifidobacterium moukalabense,37.0,0.0,1333651
Anoxybacillus eryuanensis,50.0,0.0,651866
Draconibacterium orientale,28.0,0.0,1168034
Myceligenerans cantabricum,28.0,0.0,1479025
Paraburkholderia tuberum,30.0,0.0,157910
Dechloromonas denitrificans,30.0,0.0,281362
Nitrobacter hamburgensis,28.0,0.0,912
Desulfotomaculum thermobenzoicum subsp. thermobenzoicum,60.0,0.0,
Solirubrobacter ginsenosidimutans,28.0,0.0,490573
Pseudomonas citronellolis,30.0,1.2060606060606067,53408
Actinoalloteichus cyanogriseus,29.0,0.0,65497
Nonomuraea rhizophila,28.0,0.0,870477
Streptomyces tremellae,10.0,0.0,1124239
Listeria ivanovii subsp. ivanovii,37.0,0.0,202751
Oolithotus fragilis,20.0,0.0,573976
Belliella buryatensis,30.0,0.0,1500549
Hymenoscyphus scutula,24.0,0.0,253101
Roseobacter sp.,28.0,0.0,1907202
Pediastrum boryanum,20.0,0.0,
Algibacter agarilyticus,20.0,0.0,1109739
Methanosarcina flavescens,38.0,0.0,1715806
Actinomyces naeslundii,37.0,0.0,1655
Oceanirhabdus sediminicola,35.0,0.0,1176697
Geminocystis herdmanii,22.0,0.0,669359
Epidermophyton floccosum,30.0,0.0,34391
Planktothrix paucivesiculata,22.0,0.0,1678308
Nocardioides ginsengagri,28.0,0.0,661493
Escherichia coli O3,30.0,0.0,2234097
Aliivibrio wodanis,15.0,0.0,80852
Bacillus vallismortis,31.16666666666667,1.1666666666666667,72361
Bifidobacterium pseudolongum subsp. pseudolongum,37.0,0.0,31954
Escherichia coli H18,30.0,0.0,2491694
Clostridium aldenense,37.0,0.0,
Phanerochaete chrysosporium,35.0,1.25,5306
Vibrio breoganii,26.5,0.0,553239
Vibrio madracius,28.0,0.0,1342818
Halorubrum californiense,37.0,0.0,416585
Cellulophaga lytica,25.0,0.0,979
Chromohalobacter canadensis,29.0,0.0,141389
Sinomonas echigonensis,26.5,1.5,369940
Helcococcus sueciensis,37.0,0.0,241555
Desulfosporosinus acidiphilus,30.0,0.0,885581
Streptomyces rubiginosohelvolus,28.0,0.0,67362
Catenibacterium sp.,37.0,0.0,2049022
Bifidobacterium commune,37.0,0.0,1505727
Blautia coccoides,37.0,0.0,1532
Anaerocolumna aminovalerica,37.0,0.0,1527
Amycolatopsis endophytica,28.0,0.0,860233
Fervidicoccus fontis,80.0,0.0,683846
Methylophilus glucosoxydans,28.25,0.25,752553
Patulibacter americanus,25.0,0.0,588672
Micromonospora palomenae,28.0,0.0,1461247
Pleurotaenium nodosum,20.0,0.0,1117213
Sphaerotilus montanus,25.75,0.25,522889
Deefgea rivuli,26.5,0.0,400948
Faecalicatena fissicatena,37.0,0.0,290055
Mesorhizobium mediterraneum,30.0,0.0,43617
Capnocytophaga canimorsus,37.0,0.0,28188
Paralkalibacillus indicireducens,29.0,0.0,1920268
Isoptericola chiayiensis,28.0,0.0,579446
Marinomonas arenicola,20.0,0.0,569601
Ovulinata parva,20.0,0.0,985831
Actinophytocola timorensis,28.0,0.0,657017
Microvirga arabica,28.0,0.0,1128671
Ponticaulis koreensis,28.0,0.0,1123045
Mucor flavus,20.0,0.0,439312
Bifidobacterium longum longum,37.0,0.0,
Microbulbifer gwangyangensis,25.0,0.0,1028749
Luteococcus sanguinis,37.0,0.0,174038
Pelotomaculum schinkii,37.0,0.0,78350
Caballeronia choica,30.0,0.0,326476
Legionella cherrii,37.0,0.0,28084
Citeromyces matritensis,25.0,0.0,36909
Luteitalea pratensis,25.0,0.0,1855912
Pontimonas salivibrio,25.0,0.0,1159327
Chryseobacterium flavum,26.5,0.0,415851
Pseudonocardia antarctica,26.5,0.0,237656
Planktotalea arctica,17.0,0.0,1481893
Actinopolyspora iraqiensis,28.0,0.0,
Shigella flexneri Y,30.0,0.0,424720
Acidiphilium sp.,30.0,0.0,527
Polynucleobacter paneuropaeus,28.0,0.0,2527775
Mycobacterium grossiae,37.0,0.0,1552759
Campylobacter jejuni subsp. doylei,37.0,0.0,32021
Virgibacillus xinjiangensis,30.0,0.0,393090
Absidia glauca,24.0,0.0,4829
Mycoplasmopsis bovis,37.0,0.0,
Eubacterium limosum,37.0,0.0,1736
Flavobacterium gelidilacus,20.0,0.0,206041
Bergeyella porcorum,37.0,0.0,1735111
Gracilibacillus boraciitolerans,30.0,0.0,307521
Macrocystis angustifolia,10.0,0.0,176661
Thermus thermophilus,70.0,1.9047619047142863,274
Malikia spinosa,28.0,0.0,86180
Escherichia coli O1,30.0,0.0,381476
Cylindrocarpon olidum var. crassum,24.0,0.0,2082119
Desulfotomaculum australicum,65.0,0.0,
Winogradskyella maritima,26.0,0.0,1517766
Xanthobacter aminoxidans,30.0,0.0,186280
Aquimarina latercula,25.0,0.0,987
Streptosporangium roseum,28.0,0.0,2001
Vibrio sonorensis,28.0,0.0,1004316
Rodentibacter sp.,37.0,0.0,1960093
Acidiplasma aeolicum,40.0,0.0,507754
Bacteroides clarus,37.0,0.0,626929
Sporolactobacillus kofuensis,30.0,0.0,269672
Desulfuromonas carbonis,30.0,0.0,1523623
Fenollaria sp.,35.0,0.0,1965292
Sporolactobacillus pectinivorans,30.0,0.0,1591408
Weeksella massiliensis,37.0,0.0,1461577
Leptospira terpstrae,30.0,0.0,293075
Neptuniibacter marinus,28.0,0.0,1806670
Bacillus thuringiensis  dakota,0.0,0.0,
Sphingomonas palustris,26.0,0.0,1739108
Sporosarcina contaminans,28.0,0.0,633403
Terrimonas lutea,27.0,0.0,296052
Aquimarina muelleri,28.0,0.0,279356
Clostridium stercorarium subsp. leptospartum,60.0,0.0,
Lactobacillus hordei,30.0,0.0,468911
Fluviimonas pallidilutea,30.0,0.0,1165102
Bacillus sphaericus  H9A,0.0,0.0,
Microbacterium hydrothermale,28.0,0.0,857427
Didymogenes sphaerica,20.0,0.0,1202743
Pisciglobus halotolerans,30.0,0.0,745365
Bacillus aminovorans,28.66666666666667,0.10256410261538466,
Pacificimonas flava,28.0,0.0,1234595
Haemophilus parainfluenzae II,37.0,0.0,
Methyloligella halotolerans,28.0,0.0,1177755
Mycobacterium syngnathidarum,28.0,0.0,1908205
Nocardia transvalensis,34.166666666666664,1.8333333333333333,37333
Calidithermus roseus,50.0,0.0,
Pavlova pinguis,20.0,0.0,119481
Campylobacter insulaenigrae,36.0,0.0,260714
Exidia glandulosa,24.0,0.0,5219
Dethiobacter alkaliphilus,30.0,0.0,427926
Actinokineospora diospyrosa,28.0,0.0,103728
Bacillus hunanensis,28.0,0.0,766894
Pseudomonas aeruginosa 6,30.0,0.0,
Laminaria corr,10.0,0.0,
Motilibacter rhizosphaerae,28.0,0.0,598652
Neisseria macacae,33.5,0.0,496
Nocardia lijiangensis,28.0,0.0,299618
Winogradskyella multivorans,25.0,0.0,1150776
Ulva lactuca,15.0,0.0,63410
Erythrobacter gaetbuli,30.0,0.0,266952
Gliocladium catenulatum,22.0,0.0,
Cribrihabitans pelagius,31.0,0.0,1765746
Gulosibacter molinativorax,29.33333333333333,0.0,256821
Spirosoma knui,37.0,0.0,1837376
Methylocapsa acidiphila,22.0,0.0,133552
Pacificibacter aestuarii,22.0,0.0,1332658
Sedimentisphaera cyanobacteriorum,35.0,0.0,1940790
Halovivax sp.,37.0,0.0,1935978
Eurotium halophilicum,24.0,0.0,
Acinetobacter lwoffii,29.33333333333333,0.5856060606666667,28090
Mycoplasma penetrans,37.0,0.0,28227
Paraburkholderia endofungorum,30.0,0.0,
Paenibacillus lacus,37.0,0.0,1615953
Propionispora vibrioides,30.0,0.0,112903
Anaerotignum neopropionicum,30.0,0.0,36847
Paraphaeobacter pallidus,28.0,0.0,1775170
Rhizobium favelukesii,29.0,0.0,348824
Corynebacterium afermentans afermentans,37.0,0.0,
Buttiauxella brennerae,29.0,0.0,82988
Ottowia beijingensis,28.0,0.0,1207057
Nitrosospira multiformis,28.0,0.0,1231
Tremiscus helvelloides,23.0,0.0,
Heterosigma akashiwo,20.0,0.0,2829
Yinghuangia aomiensis,28.0,0.0,
Psychrilyobacter sp.,14.75,0.9166666665,2586924
Thalassobius aestuarii,35.0,0.0,
Shigella boydii 1,30.0,0.0,
Flavicella marina,25.0,0.0,1475951
Glaucocystis miyajii,20.0,0.0,1789789
Aquamicrobium segne,28.0,0.0,469547
Actinomadura hibisca,28.0,0.0,68565
Shewanella atlantica,10.0,0.0,271099
Paenibacillus darwinianus,20.0,0.0,1380763
Streptomyces badius,28.0,0.0,1941
Paraburkholderia caribensis,29.0,0.0,75105
Hyphomicrobium facile subsp. facile,30.0,0.0,582841
Phoma valerianellae,20.0,0.0,
Sulfolobus solfataricus P2,70.0,0.0,
Leifsonia rubra,18.0,0.0,191389
Asterococcus superbus,20.0,0.0,269637
Alicyclobacillus cellulosilyticus,55.0,0.0,1003997
Herbidospora daliensis,30.0,0.0,295585
Mangrovibacterium marinum,37.0,0.0,1639118
Flexibacter sp.,25.0,0.0,1005
Psychrobacter immobilis,23.33333333333333,1.185185185185187,498
Brevibacterium sanguinis,37.0,0.0,232444
Lachnotalea glycerini,24.0,0.0,1763509
Kitasatospora griseola,28.0,0.0,2064
Pseudoduganella danionis,25.0,0.0,1890295
Maribacter sedimenticola,27.5,0.0,228956
Arthrobotrys brochopaga,26.0,0.0,
Vibrio aphrogenes,28.0,0.0,1891186
Burkholderia caledonica,30.0,0.0,
Nevskia terrae,28.0,0.0,675609
Streptomyces yanii,28.0,0.0,78510
Trametes hirsuta,25.0,0.5,5327
Inhella inkyongensis,27.5,0.0,392593
Micromonospora schwarzwaldensis,29.0,0.0,1296375
Bacillus thuringiensis israelensis IPS-82,0.0,0.0,
Flavobacterium gillisiae,20.0,0.0,150146
Novosphingobium humi,30.0,0.0,2282397
Ochrobactrum pecoris,30.0,0.0,867683
Nocardia vinacea,29.0,0.0,96468
Algibacter undariae,20.0,0.0,1285464
Novosphingobium chloroacetimidivorans,28.0,0.0,1428314
Syntrophomonas palmitatica,37.0,0.0,402877
Nocardioides dokdonensis,28.0,0.0,450734
Nocardiopsis algeriensis,28.0,0.0,1478215
Candida tenuis,25.0,0.0,
Microbacterium awajiense,28.0,0.0,415214
Xylella fastidiosa,28.0,0.666666666666667,2371
Shewanella morhuae,14.0,0.0,365591
Microbacterium phyllosphaerae,28.5,1.0555555555555556,124798
Costertonia aggregata,22.0,0.0,343403
Lactobacillus vaccinostercus,31.75,1.75,176291
Tsukamurella sp.,37.0,0.0,1978373
Marivirga sp.,20.0,0.0,2018662
Dermatophilus congolensis,37.0,0.642857142857145,1863
Metamycoplasma hominis,37.0,0.0,
Defluviimonas aestuarii,22.0,0.0,1130726
Pelotomaculum propionicicum,37.0,0.0,258475
Petrotoga sibirica,55.0,0.0,156202
Cobetia pacifica,26.5,3.5,1055101
Pseudomonas weihenstephanensis,23.0,5.0,1608994
Streptomyces lavenduligriseus,28.0,0.0,67315
Mucilaginibacter angelicae,20.0,0.0,869718
Bacillus kexueae,50.0,0.0,2078952
Clostridium difficile H,37.0,0.0,
Peptoniphilus grossensis,37.0,0.0,1465756
Marinomonas algicida,23.0,0.0,1711926
Lactobacillus floricola,30.0,0.0,679249
Micromonospora polyrhachis,28.0,0.0,1282883
Phytophthora nicotianae,26.0,0.0,4790
Corynebacterium urealyticum,37.0,0.21,43771
Leucobacter celer,28.0,0.0,668625
Mycoplasmopsis meleagridis,37.0,0.0,
Leptospira kirschneri Bulgarica,29.0,0.0,
Phaeobacter porticola,30.0,2.0,1844006
Propioniciclava tarda,32.5,0.0,433330
Chondromyces apiculatus,30.0,0.6666666668333334,51
Enterovibrio coralii,28.0,0.0,294935
Rhodococcus pedocola,25.0,0.0,1769755
Streptomyces gobitricini,28.0,0.0,68211
Carteria klebsii,20.0,0.0,
Variovorax dokdonensis,29.0,0.0,344883
Halobellus rufus,37.0,0.0,1448860
Halopelagius longus,43.0,0.0,1236180
Enteromorpha intestinalis,15.0,0.0,
Pilimelia terevasa,28.0,0.0,53372
Maribacter chungangensis,17.0,0.0,1069117
Lactobacillus kunkeei,30.0,0.0,148814
Oenococcus kitaharae,30.0,0.0,336988
Streptomyces europaeiscabiei,29.0,0.0,146819
Nocardioides iriomotensis,28.0,0.0,715784
Uliginosibacterium gangwonense,28.0,0.0,392736
Thioalkalivibrio nitratireducens,30.0,0.0,186931
Ruminiclostridium papyrosolvens,25.0,0.0,29362
Bacillus plakortidis,28.0,0.0,444060
Hephaestia caeni,28.0,0.0,645617
Defluviimonas indica,28.0,0.0,
Demetria terragena,29.0,0.0,63959
Glycomyces sp.,28.0,0.0,1913978
Planosporangium mesophilum,28.0,0.0,689768
Caldicellulosiruptor lactoaceticus,70.0,0.0,52766
Rhizobacter dauci,30.0,0.0,431677
Photobacterium swingsii,25.0,0.0,680026
Neptunicella marina,26.0,0.0,2125989
Annwoodia aquaesulis,42.0,0.0,47959
Phaeospirillum chandramohanii,28.0,0.0,461391
Staphylococcus devriesei,37.0,0.0,586733
Halogranum gelatinilyticum,37.0,0.0,660521
Granulicella paludicola,20.0,0.0,474951
Methyloglobulus morosus,20.0,0.0,1410681
Prymnesium sp. ,20.0,0.0,
Halorubrum trueperi,44.0,0.0,2004704
Volvox reticuliferus,20.0,0.0,1737510
Brachymonas chironomi,28.0,0.0,491919
Azospirillum humicireducens,30.5,0.5,1226968
Pseudomonas guariconensis,28.0,0.0,1288410
Photobacterium sanctipauli,28.0,0.0,1342794
Devosia submarina,22.0,0.0,1173082
Frondihabitans australicus,28.0,0.0,386892
Bacteroïdes fragilis,37.0,0.0,
Pedobacter kribbensis,28.0,0.0,453844
Mycobacterium peregrinum,37.0,0.75,
Glycomyces lechevalierae,28.0,0.0,256034
