level1	level2	level3	function	ERR599063	ERR599115	ERR599105	ERR3589586	ERR599052	ERR598981	ERR599048	ERR3589593	ERR598964	ERR599020	ERR599125	ERR598963	ERR598989	ERR599076	ERR599176
Genetic Information Processing	Transcription	03040 Spliceosome [PATH:ko03040]	"CDC5L, CDC5, CEF1; pre-mRNA-splicing factor CDC5/CEF1"	1	1	23	0	9	0	22	6	6	13	3	80	8	0	11
Cellular Processes	Cell growth and death	04110 Cell cycle [PATH:ko04110]	CDC6; cell division control protein 6	0	0	2	0	0	0	4	0	1	0	0	25	0	0	2
Cellular Processes	Cell growth and death	04110 Cell cycle [PATH:ko04110]	CDC7; cell division control protein 7 [EC:2.7.11.1]	0	0	1	0	0	0	5	1	0	0	2	3	1	0	0
Cellular Processes	Cell growth and death	04110 Cell cycle [PATH:ko04110]	"CDH1; cell division cycle 20-like protein 1, cofactor of APC complex"	4	9	43	0	17	0	20	30	3	14	12	48	7	0	30
Environmental Information Processing	Signal transduction	04070 Phosphatidylinositol signaling system [PATH:ko04070]	CDIPT; CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11]	0	0	3	0	0	0	0	3	0	0	2	6	2	0	1
Cellular Processes	Cell communication	04540 Gap junction [PATH:ko04540]	"CDK1, CDC2; cyclin-dependent kinase 1 [EC:2.7.11.22 2.7.11.23]"	3	1	24	0	10	2	12	13	5	4	5	29	11	0	20
Cellular Processes	Cell growth and death	04110 Cell cycle [PATH:ko04110]	CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22]	0	3	8	1	2	0	9	2	0	0	4	17	11	0	18
Cellular Processes	Cell communication	04530 Tight junction [PATH:ko04530]	CDK4; cyclin-dependent kinase 4 [EC:2.7.11.22]	0	0	1	0	2	0	1	2	0	1	1	5	0	0	0
Human Diseases	Neurodegenerative diseases	05010 Alzheimer's disease [PATH:ko05010]	CDK5; cyclin-dependent kinase 5 [EC:2.7.11.22]	1	0	11	0	4	2	5	6	3	3	5	14	5	0	21
Cellular Processes	Cell growth and death	04110 Cell cycle [PATH:ko04110]	CDK6; cyclin-dependent kinase 6 [EC:2.7.11.22]	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0
Cellular Processes	Cell growth and death	04110 Cell cycle [PATH:ko04110]	CDK7; cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]	3	0	15	0	8	1	2	8	1	4	2	66	4	0	9
Cellular Processes	Cell growth and death	04110 Cell cycle [PATH:ko04110]	"CDKN2D, P19, INK4D; cyclin-dependent kinase inhibitor 2D"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Metabolism	Lipid metabolism	00100 Steroid biosynthesis [PATH:ko00100]	CEL; bile salt-stimulated lipase [EC:3.1.1.3 3.1.1.13]	7	1	0	0	5	2	1	3	0	6	0	6	4	0	19
Organismal Systems	Environmental adaptation	04626 Plant-pathogen interaction [PATH:ko04626]	CERK1; chitin elicitor receptor kinase 1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	Xenobiotics biodegradation and metabolism	00983 Drug metabolism - other enzymes [PATH:ko00983]	CES1; carboxylesterase 1 [EC:3.1.1.1]	68	101	49	0	63	117	141	112	70	91	111	51	38	0	92
Metabolism	Xenobiotics biodegradation and metabolism	00983 Drug metabolism - other enzymes [PATH:ko00983]	CES2; carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56]	531	458	297	4	507	416	380	326	528	399	373	311	338	5	374
Genetic Information Processing	Replication and repair	03420 Nucleotide excision repair [PATH:ko03420]	CETN2; centrin-2	5	3	18	0	8	0	8	12	5	8	6	29	7	0	32
Organismal Systems	Development	04320 Dorso-ventral axis formation [PATH:ko04320]	CF2; chorion factor 2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Human Diseases	Infectious diseases	05150 Staphylococcus aureus infection [PATH:ko05150]	CFB; component factor B [EC:3.4.21.47]	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Human Diseases	Infectious diseases	05150 Staphylococcus aureus infection [PATH:ko05150]	CFI; complement factor I [EC:3.4.21.45]	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0
Cellular Processes	Cell motility	04810 Regulation of actin cytoskeleton [PATH:ko04810]	CFL; cofilin	2	0	2	0	3	0	0	0	0	1	0	15	1	0	2
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	CFTR; cystic fibrosis transmembrane conductance regulator [EC:3.6.3.49]	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Metabolism	Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	CHAT; choline O-acetyltransferase [EC:2.3.1.6]	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Environmental Information Processing	Signal transduction	04310 Wnt signaling pathway [PATH:ko04310]	"CHD8, HELSNF1; chromodomain helicase DNA binding protein 8 [EC:3.6.4.12]"	0	1	7	5	2	0	1	0	1	0	1	8	5	0	2
Genetic Information Processing	Transcription	03040 Spliceosome [PATH:ko03040]	CHERP; calcium homeostasis endoplasmic reticulum protein	0	1	4	0	0	0	1	1	0	1	0	0	0	0	0
Cellular Processes	Cell growth and death	04110 Cell cycle [PATH:ko04110]	CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1]	0	5	9	0	1	0	4	4	1	4	6	5	2	0	3
Cellular Processes	Cell growth and death	04110 Cell cycle [PATH:ko04110]	CHK2; serine/threonine-protein kinase Chk2 [EC:2.7.11.1]	2	0	5	0	0	0	2	5	0	0	11	6	2	0	6
Metabolism	Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	CHK; choline/ethanolamine kinase [EC:2.7.1.32 2.7.1.82]	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0
Cellular Processes	Transport and catabolism	04144 Endocytosis [PATH:ko04144]	"CHMP1, VPS46, DID2; charged multivesicular body protein 1"	0	0	4	0	4	0	0	2	0	0	3	27	5	0	8
Cellular Processes	Transport and catabolism	04144 Endocytosis [PATH:ko04144]	CHMP2A; charged multivesicular body protein 2A	0	0	3	0	5	0	3	3	3	7	3	46	9	0	4
Cellular Processes	Transport and catabolism	04144 Endocytosis [PATH:ko04144]	"CHMP4, SNF7, VPS32; charged multivesicular body protein 4"	0	0	1	0	5	0	2	0	0	1	0	15	0	0	0
Cellular Processes	Transport and catabolism	04144 Endocytosis [PATH:ko04144]	"CHMP5, VPS60; charged multivesicular body protein 5"	2	2	1	0	2	0	1	3	0	2	4	21	2	0	3
Cellular Processes	Transport and catabolism	04144 Endocytosis [PATH:ko04144]	"CHMP6, VPS20; charged multivesicular body protein 6"	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0
Metabolism	Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	"CHPT1, CPT1; diacylglycerol cholinephosphotransferase [EC:2.7.8.2]"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Environmental Information Processing	Signaling molecules and interaction	04080 Neuroactive ligand-receptor interaction [PATH:ko04080]	CHRMN; muscarinic acetylcholine receptor	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Environmental Information Processing	Signaling molecules and interaction	04080 Neuroactive ligand-receptor interaction [PATH:ko04080]	CHRNA2; nicotinic acetylcholine receptor alpha-2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Signaling molecules and interaction	04080 Neuroactive ligand-receptor interaction [PATH:ko04080]	CHRNA4; nicotinic acetylcholine receptor alpha-4	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Environmental Information Processing	Signaling molecules and interaction	04080 Neuroactive ligand-receptor interaction [PATH:ko04080]	CHRNA6; nicotinic acetylcholine receptor alpha-6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Environmental Information Processing	Signal transduction	04020 Calcium signaling pathway [PATH:ko04020]	CHRNA7; nicotinic acetylcholine receptor alpha-7	0	0	0	0	2	0	3	0	0	0	4	0	0	0	0
Environmental Information Processing	Signaling molecules and interaction	04080 Neuroactive ligand-receptor interaction [PATH:ko04080]	CHRNB3; nicotinic acetylcholine receptor beta-3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Metabolism	Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	CHS1; chitin synthase [EC:2.4.1.16]	1	2	1	0	0	0	6	10	10	7	7	5	0	0	2
Metabolism	Biosynthesis of other secondary metabolites	00941 Flavonoid biosynthesis [PATH:ko00941]	CHS; chalcone synthase [EC:2.3.1.74]	116	73	25	0	135	16	59	102	111	42	220	40	34	0	1290
Metabolism	Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	CHST13; chondroitin 4-sulfotransferase 13 [EC:2.8.2.5]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	Glycan biosynthesis and metabolism	00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate [PATH:ko00532]	CHST15; N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase [EC:2.8.2.33]	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Environmental Information Processing	Signal transduction	04330 Notch signaling pathway [PATH:ko04330]	CIR; CBF1 interacting corepressor	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Environmental Information Processing	Signal transduction	04630 Jak-STAT signaling pathway [PATH:ko04630]	CISH; cytokine inducible SH2-containing protein	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Metabolism	Metabolism of terpenoids and polyketides	00908 Zeatin biosynthesis [PATH:ko00908]	CISZOG; cis-zeatin O-glucosyltransferase [EC:2.4.1.215]	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Metabolism	Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	CKI1; choline kinase [EC:2.7.1.32]	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Cellular Processes	Cell growth and death	04111 Cell cycle - yeast [PATH:ko04111]	CKS1; cyclin-dependent kinase regulatory subunit CKS1	1	0	9	0	7	0	4	9	0	2	0	15	8	0	4
Cellular Processes	Cell growth and death	04111 Cell cycle - yeast [PATH:ko04111]	CLB1_2; G2/mitotic-specific cyclin 1/2	0	0	3	0	0	0	0	1	0	0	0	1	0	0	2
Organismal Systems	Digestive system	04972 Pancreatic secretion [PATH:ko04972]	CLCA1; calcium-activated chloride channel family member 1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Metabolism	Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	CLD1; cardiolipin-specific phospholipase [EC:3.1.1.-]	0	0	4	0	2	2	0	0	3	2	0	1	4	0	1
Genetic Information Processing	Translation	03013 RNA transport [PATH:ko03013]	"CLNS1A; chloride channel, nucleotide-sensitive, 1A"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Human Diseases	Infectious diseases	05168 Herpes simplex infection [PATH:ko05168]	"CLOCK, KAT13D; circadian locomoter output cycles kaput protein [EC:2.3.1.48]"	0	0	0	0	1	2	0	0	0	0	2	1	0	0	0
Genetic Information Processing	Translation	03015 mRNA surveillance pathway [PATH:ko03015]	"CLP1, HERB; polyribonucleotide 5'-hydroxyl-kinase [EC:2.7.1.78]"	0	1	0	0	2	0	1	2	1	4	3	18	0	0	0
Cellular Processes	Transport and catabolism	04142 Lysosome [PATH:ko04142]	CLTC; clathrin heavy chain	25	11	124	0	47	1	53	36	21	58	52	427	73	0	146
Metabolism	Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	CMAH; CMP-N-acetylneuraminate monooxygenase [EC:1.14.18.2]	0	0	1	0	0	0	0	0	0	2	0	0	1	0	2
Organismal Systems	Environmental adaptation	04626 Plant-pathogen interaction [PATH:ko04626]	CML; calcium-binding protein CML	0	0	4	0	0	0	1	0	2	1	0	3	1	0	1
Metabolism	Nucleotide metabolism	00240 Pyrimidine metabolism [PATH:ko00240]	"CMPK1, UMPK; UMP-CMP kinase [EC:2.7.4.- 2.7.4.14]"	7	12	29	0	12	4	13	14	4	17	10	58	12	0	13
Metabolism	Amino acid metabolism	00330 Arginine and proline metabolism [PATH:ko00330]	CNDP1; beta-Ala-His dipeptidase [EC:3.4.13.20]	0	0	1	0	0	1	0	0	0	2	5	3	0	0	3
Organismal Systems	Sensory system	04744 Phototransduction [PATH:ko04744]	CNGA1; cyclic nucleotide gated channel alpha 1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1
Organismal Systems	Sensory system	04740 Olfactory transduction [PATH:ko04740]	CNGA3; cyclic nucleotide gated channel alpha 3	3	4	5	0	6	5	2	2	2	0	5	4	1	0	4
Organismal Systems	Sensory system	04740 Olfactory transduction [PATH:ko04740]	CNGB1; cyclic nucleotide gated channel beta 1	1	2	1	0	1	0	1	1	3	4	3	0	0	0	3
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"CNOT1, NOT1; CCR4-NOT transcription complex subunit 1"	16	8	69	0	27	2	31	45	4	22	34	179	48	0	50
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	CNOT10; CCR4-NOT transcription complex subunit 10	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"CNOT2, NOT2; CCR4-NOT transcription complex subunit 2"	2	3	3	0	2	0	5	2	0	10	3	26	1	0	9
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"CNOT3, NOT3; CCR4-NOT transcription complex subunit 3"	6	1	8	0	2	4	4	11	0	13	3	33	9	0	21
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"CNOT4, NOT4, MOT2; CCR4-NOT transcription complex subunit 4 [EC:6.3.2.19]"	0	0	3	0	4	0	1	5	0	4	3	13	2	0	7
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"CNOT6, CCR4; CCR4-NOT transcription complex subunit 6"	4	12	24	0	11	8	17	9	8	17	35	62	18	0	12
Genetic Information Processing	"Folding, sorting and degradation"	03018 RNA degradation [PATH:ko03018]	"CNOT7_8, CAF1, POP2; CCR4-NOT transcription complex subunit 7/8"	1	3	22	0	15	0	16	8	0	14	6	64	30	0	10
Environmental Information Processing	Signaling molecules and interaction	04514 Cell adhesion molecules (CAMs) [PATH:ko04514]	CNTNAP2; contactin associated protein-like 2	0	0	0	0	0	0	6	0	0	0	10	0	0	0	0
Organismal Systems	Environmental adaptation	04712 Circadian rhythm - plant [PATH:ko04712]	CO; zinc finger protein CONSTANS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	Metabolism of cofactors and vitamins	00770 Pantothenate and CoA biosynthesis [PATH:ko00770]	COASY; phosphopantetheine adenylyltransferase / dephospho-CoA kinase [EC:2.7.7.3 2.7.1.24]	1	0	2	0	1	7	0	0	3	1	2	0	0	0	0
Metabolism	Energy metabolism	00680 Methane metabolism [PATH:ko00680]	CODH-ACSA; carbon monoxide dehydrogenase / acetyl-CoA synthase subunit alpha [EC:1.2.7.4 1.2.99.2 2.3.1.169]	0	0	0	0	5	113	0	0	0	16	0	0	2	0	0
Metabolism	Energy metabolism	00680 Methane metabolism [PATH:ko00680]	CODH-ACSB; carbon monoxide dehydrogenase / acetyl-CoA synthase subunit beta [EC:1.2.7.4 1.2.99.2 2.3.1.169]	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Organismal Systems	Digestive system	04974 Protein digestion and absorption [PATH:ko04974]	"COL12A; collagen, type XII, alpha"	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
Organismal Systems	Digestive system	04974 Protein digestion and absorption [PATH:ko04974]	"COL14A; collagen, type XIV, alpha"	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
Organismal Systems	Digestive system	04974 Protein digestion and absorption [PATH:ko04974]	"COL15A; collagen, type XV, alpha"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Organismal Systems	Digestive system	04974 Protein digestion and absorption [PATH:ko04974]	"COL17A, BP180; collagen, type XVII, alpha"	1	11	1	0	0	1	3	2	4	2	0	1	1	0	0
Organismal Systems	Digestive system	04974 Protein digestion and absorption [PATH:ko04974]	"COL18A; collagen, type XVIII, alpha"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cellular Processes	Cell communication	04510 Focal adhesion [PATH:ko04510]	"COL1AS; collagen, type I/II/III/V/XI/XXIV/XXVII, alpha"	37	229	13	0	10	123	79	370	249	127	141	99	22	0	8
Cellular Processes	Cell communication	04510 Focal adhesion [PATH:ko04510]	"COL4A; collagen, type IV, alpha"	32	25	27	0	11	16	19	39	17	24	8	24	32	0	28
Cellular Processes	Cell communication	04510 Focal adhesion [PATH:ko04510]	"COL6A; collagen, type VI, alpha"	2	1	2	0	2	1	4	2	6	2	3	2	3	0	0
Organismal Systems	Digestive system	04974 Protein digestion and absorption [PATH:ko04974]	"COL9A; collagen, type IX, alpha"	5	2	4	0	1	1	4	0	2	0	3	2	0	0	1
Cellular Processes	Transport and catabolism	04145 Phagosome [PATH:ko04145]	COLEC11; collectin sub-family member 11	4	0	1	0	0	0	0	0	0	0	0	0	3	0	0
Cellular Processes	Transport and catabolism	04145 Phagosome [PATH:ko04145]	COLEC12; collectin sub-family member 12	3	1	0	0	1	1	5	1	4	3	0	4	2	0	0
Metabolism	Amino acid metabolism	00350 Tyrosine metabolism [PATH:ko00350]	COMT; catechol O-methyltransferase [EC:2.1.1.6]	4	0	1	0	5	6	2	1	0	3	0	10	0	0	4
Environmental Information Processing	Signaling molecules and interaction	04080 Neuroactive ligand-receptor interaction [PATH:ko04080]	"COPA; coatomer protein complex, subunit alpha (xenin)"	32	10	73	0	37	0	27	22	12	51	31	253	49	0	76
Metabolism	Metabolism of cofactors and vitamins	00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	COQ2; 4-hydroxybenzoate hexaprenyltransferase [EC:2.5.1.-]	150	57	86	0	162	60	75	62	75	73	25	141	108	0	40
Metabolism	Metabolism of cofactors and vitamins	00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	COQ3; hexaprenyldihydroxybenzoate methyltransferase [EC:2.1.1.114]	73	29	53	0	26	22	47	20	45	41	18	62	70	0	18
Metabolism	Metabolism of cofactors and vitamins	00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	COQ5; ubiquinone biosynthesis methyltransferase [EC:2.1.1.201]	273	116	191	0	310	169	193	133	171	196	69	299	304	0	193
Metabolism	Metabolism of cofactors and vitamins	00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	COQ6; ubiquinone biosynthesis monooxygenase Coq6 [EC:1.14.13.-]	36	17	13	0	30	20	19	33	20	21	14	32	11	0	48
Metabolism	Metabolism of cofactors and vitamins	00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	COQ7; ubiquinone biosynthesis monooxygenase Coq7 [EC:1.14.13.-]	1537	540	861	0	1556	620	770	926	795	856	406	1435	1563	0	2099
Cellular Processes	Transport and catabolism	04145 Phagosome [PATH:ko04145]	CORO1A; coronin-1A	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
Metabolism	Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	COX10; protoheme IX farnesyltransferase [EC:2.5.1.-]	5	24	4	0	7	37	10	31	32	37	24	39	11	0	2
Metabolism	Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	COX11; cytochrome c oxidase assembly protein subunit 11	1434	311	697	0	1428	442	597	600	238	685	220	770	1516	0	1875
Environmental Information Processing	Signal transduction	02020 Two-component system [PATH:ko02020]	COX15; cytochrome c oxidase assembly protein subunit 15	1897	1218	1378	111	1983	1262	1470	1325	1374	1378	807	1403	1655	5	2289
Metabolism	Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	COX17; cytochrome c oxidase assembly protein subunit 17	2	0	5	0	1	0	1	0	0	2	0	3	0	0	6
Human Diseases	Neurodegenerative diseases	05010 Alzheimer's disease [PATH:ko05010]	COX1; cytochrome c oxidase subunit 1 [EC:1.9.3.1]	54	13	54	0	42	19	24	26	32	59	35	249	54	0	36
Human Diseases	Neurodegenerative diseases	05010 Alzheimer's disease [PATH:ko05010]	COX2; cytochrome c oxidase subunit 2	20	7	23	0	27	9	22	25	15	16	10	105	27	0	41
Human Diseases	Neurodegenerative diseases	05010 Alzheimer's disease [PATH:ko05010]	COX3; cytochrome c oxidase subunit 3	26	6	13	0	21	1	9	16	13	21	14	57	20	0	49
Human Diseases	Neurodegenerative diseases	05010 Alzheimer's disease [PATH:ko05010]	COX5B; cytochrome c oxidase subunit 5b	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Human Diseases	Neurodegenerative diseases	05010 Alzheimer's disease [PATH:ko05010]	COX6A; cytochrome c oxidase subunit 6a	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Human Diseases	Neurodegenerative diseases	05010 Alzheimer's disease [PATH:ko05010]	COX6B; cytochrome c oxidase subunit 6b	0	0	0	0	0	0	0	1	0	0	0	16	2	0	0
Metabolism	Metabolism of cofactors and vitamins	00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]	CP; ceruloplasmin [EC:1.16.3.1]	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0
Organismal Systems	Digestive system	04972 Pancreatic secretion [PATH:ko04972]	CPA1; carboxypeptidase A1 [EC:3.4.17.1]	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
Organismal Systems	Digestive system	04972 Pancreatic secretion [PATH:ko04972]	CPA2; carboxypeptidase A2 [EC:3.4.17.15]	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Organismal Systems	Digestive system	04972 Pancreatic secretion [PATH:ko04972]	CPA3; carboxypeptidase A3 [EC:3.4.17.1]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Organismal Systems	Digestive system	04972 Pancreatic secretion [PATH:ko04972]	CPB1; carboxypeptidase B [EC:3.4.17.2]	0	0	0	0	1	0	0	1	2	0	0	2	0	0	0
Organismal Systems	Digestive system	04972 Pancreatic secretion [PATH:ko04972]	CPB2; carboxypeptidase B2 [EC:3.4.17.20]	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Human Diseases	Infectious diseases	05140 Leishmaniasis [PATH:ko05140]	CPB; cysteine peptidase B [EC:3.4.22.-]	0	1	0	0	7	0	2	0	0	1	1	4	1	0	1
Human Diseases	Endocrine and metabolic diseases	04940 Type I diabetes mellitus [PATH:ko04940]	CPE; carboxypeptidase E [EC:3.4.17.10]	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0
Metabolism	Lipid metabolism	00100 Steroid biosynthesis [PATH:ko00100]	CPI1; cycloeucalenol cycloisomerase [EC:5.5.1.9]	4	0	7	0	3	0	6	3	0	1	1	25	0	0	1
Human Diseases	Infectious diseases	05145 Toxoplasmosis [PATH:ko05145]	CPK; calcium-dependent protein kinase [EC:2.7.11.1]	11	6	109	0	22	0	55	40	9	35	22	136	22	0	36
Cellular Processes	Cell communication	04510 Focal adhesion [PATH:ko04510]	CPKC; classical protein kinase C [EC:2.7.11.13]	1	0	7	0	4	0	4	2	1	1	15	9	2	0	0
Metabolism	Amino acid metabolism	"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	CPS1; carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16]	16	22	34	0	30	11	22	19	16	26	20	64	22	0	28
Genetic Information Processing	Translation	03015 mRNA surveillance pathway [PATH:ko03015]	"CPSF1, CFT1; cleavage and polyadenylation specificity factor subunit 1"	0	6	1	0	0	0	2	3	0	5	0	57	0	0	1
Genetic Information Processing	Translation	03015 mRNA surveillance pathway [PATH:ko03015]	"CPSF2, CFT2; cleavage and polyadenylation specificity factor subunit 2"	0	0	3	0	2	0	0	1	3	1	0	50	1	0	5
Genetic Information Processing	Translation	03015 mRNA surveillance pathway [PATH:ko03015]	"CPSF3, YSH1; cleavage and polyadenylation specificity factor subunit 3 [EC:3.1.27.-]"	13	3	23	0	18	1	10	4	16	26	9	117	42	0	39
Genetic Information Processing	Translation	03015 mRNA surveillance pathway [PATH:ko03015]	"CPSF4, YTH1; cleavage and polyadenylation specificity factor subunit 4"	1	0	2	0	3	0	1	1	0	0	1	8	4	0	2
Genetic Information Processing	Translation	03015 mRNA surveillance pathway [PATH:ko03015]	CPSF6_7; cleavage and polyadenylation specificity factor subunit 6/7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Metabolism	Lipid metabolism	00071 Fatty acid metabolism [PATH:ko00071]	CPT1; carnitine O-palmitoyltransferase 1 [EC:2.3.1.21]	2	0	0	0	0	0	2	1	3	1	0	3	0	0	1
Metabolism	Lipid metabolism	00071 Fatty acid metabolism [PATH:ko00071]	CPT2; carnitine O-palmitoyltransferase 2 [EC:2.3.1.21]	2	0	3	0	4	0	3	3	1	4	0	9	2	0	7
Human Diseases	Infectious diseases	05111 Vibrio cholerae pathogenic cycle [PATH:ko05111]	CQSA; CAI-1 autoinducer synthase [EC:2.3.-.-]	0	6	0	0	1	4	3	0	0	1	0	0	0	0	0
Environmental Information Processing	Signaling molecules and interaction	04080 Neuroactive ligand-receptor interaction [PATH:ko04080]	CRHR1; corticotropin releasing hormone receptor 1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Environmental Information Processing	Signaling molecules and interaction	04080 Neuroactive ligand-receptor interaction [PATH:ko04080]	CRHR2; corticotropin releasing hormone receptor 2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cellular Processes	Cell communication	04510 Focal adhesion [PATH:ko04510]	"CRK, CRKII; proto-oncogene C-crk"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Metabolism	Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	CRLS; cardiolipin synthase [EC:2.7.8.-]	10	0	0	0	1	1	0	0	0	0	2	0	6	0	0
Genetic Information Processing	Transcription	03040 Spliceosome [PATH:ko03040]	"CRN, CRNKL1, CLF1, SYF3; crooked neck"	8	0	31	0	15	0	24	10	18	13	10	159	19	0	27
Cellular Processes	Transport and catabolism	04146 Peroxisome [PATH:ko04146]	CROT; carnitine O-octanoyltransferase [EC:2.3.1.137]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Organismal Systems	Environmental adaptation	04712 Circadian rhythm - plant [PATH:ko04712]	CRY1; cryptochrome 1	16	0	16	0	24	0	8	13	0	9	2	18	24	0	10
Organismal Systems	Environmental adaptation	04712 Circadian rhythm - plant [PATH:ko04712]	CRY2; cryptochrome 2	6	0	2	0	3	0	4	0	0	0	1	6	6	0	11
Organismal Systems	Environmental adaptation	04710 Circadian rhythm [PATH:ko04710]	CRY; cryptochrome	55	1	59	0	48	1	35	14	0	31	3	125	61	0	18
Metabolism	Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	CRYL1; L-gulonate 3-dehydrogenase [EC:1.1.1.45]	21	3	6	0	8	2	5	8	8	8	7	6	13	1	0
Metabolism	Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	"CS, gltA; citrate synthase [EC:2.3.3.1]"	5397	6903	3133	21	4855	5397	4688	5520	6344	5480	4977	4056	4799	39	3683
Metabolism	Metabolism of other amino acids	00430 Taurine and hypotaurine metabolism [PATH:ko00430]	CSAD; sulfinoalanine decarboxylase [EC:4.1.1.29]	40	7	19	0	26	26	16	17	3	27	1	34	51	0	16
Cellular Processes	Cell communication	04530 Tight junction [PATH:ko04530]	"CSDA, ZONAB; cold shock domain protein A"	13	13	0	0	19	5	9	6	15	14	3	4	21	0	0
